Simulator Started on cpu
Episode 1/200 | Reward: -9490.00 | Avg Loss: 845.2250 | Epsilon: 0.995
Episode 2/200 | Reward: -10970.00 | Avg Loss: 102.0376 | Epsilon: 0.990
Episode 3/200 | Reward: -11243.00 | Avg Loss: 84.8021 | Epsilon: 0.985
Episode 4/200 | Reward: -10945.00 | Avg Loss: 74.2598 | Epsilon: 0.980
Episode 5/200 | Reward: -10039.00 | Avg Loss: 65.0898 | Epsilon: 0.975
Episode 6/200 | Reward: -11419.00 | Avg Loss: 54.3199 | Epsilon: 0.970
Episode 7/200 | Reward: -12078.00 | Avg Loss: 43.7111 | Epsilon: 0.966
Episode 8/200 | Reward: -11188.00 | Avg Loss: 38.1347 | Epsilon: 0.961
Episode 9/200 | Reward: -12114.00 | Avg Loss: 35.7882 | Epsilon: 0.956
Episode 10/200 | Reward: -12676.00 | Avg Loss: 36.4707 | Epsilon: 0.951
Episode 11/200 | Reward: -12046.00 | Avg Loss: 167.8482 | Epsilon: 0.946
Episode 12/200 | Reward: -11837.00 | Avg Loss: 112.5384 | Epsilon: 0.942
Episode 13/200 | Reward: -9915.00 | Avg Loss: 110.5439 | Epsilon: 0.937
Episode 14/200 | Reward: -13204.00 | Avg Loss: 108.2178 | Epsilon: 0.932
Episode 15/200 | Reward: -10660.00 | Avg Loss: 107.7577 | Epsilon: 0.928
Episode 16/200 | Reward: -11020.00 | Avg Loss: 105.2114 | Epsilon: 0.923
Episode 17/200 | Reward: -12121.00 | Avg Loss: 103.1222 | Epsilon: 0.918
Episode 18/200 | Reward: -10610.00 | Avg Loss: 103.0199 | Epsilon: 0.914
Episode 19/200 | Reward: -11008.00 | Avg Loss: 102.4144 | Epsilon: 0.909
Episode 20/200 | Reward: -11482.00 | Avg Loss: 103.5721 | Epsilon: 0.905
Episode 21/200 | Reward: -8725.00 | Avg Loss: 252.7622 | Epsilon: 0.900
Episode 22/200 | Reward: -9860.00 | Avg Loss: 189.7812 | Epsilon: 0.896
Episode 23/200 | Reward: -9625.00 | Avg Loss: 186.6436 | Epsilon: 0.891
Episode 24/200 | Reward: -11134.00 | Avg Loss: 180.1919 | Epsilon: 0.887
Episode 25/200 | Reward: -9299.00 | Avg Loss: 176.8849 | Epsilon: 0.882
Episode 26/200 | Reward: -9958.00 | Avg Loss: 168.5597 | Epsilon: 0.878
Episode 27/200 | Reward: -10789.00 | Avg Loss: 174.0742 | Epsilon: 0.873
Episode 28/200 | Reward: -9199.00 | Avg Loss: 172.7416 | Epsilon: 0.869
Episode 29/200 | Reward: -9461.00 | Avg Loss: 167.0216 | Epsilon: 0.865
Episode 30/200 | Reward: -8817.00 | Avg Loss: 168.7399 | Epsilon: 0.860
Episode 31/200 | Reward: -13089.00 | Avg Loss: 269.6605 | Epsilon: 0.856
Episode 32/200 | Reward: -9251.00 | Avg Loss: 235.9166 | Epsilon: 0.852
Episode 33/200 | Reward: -8754.00 | Avg Loss: 239.0220 | Epsilon: 0.848
Episode 34/200 | Reward: -8304.00 | Avg Loss: 230.7168 | Epsilon: 0.843
Episode 35/200 | Reward: -9015.00 | Avg Loss: 230.2539 | Epsilon: 0.839
Episode 36/200 | Reward: -10617.00 | Avg Loss: 222.2632 | Epsilon: 0.835
Episode 37/200 | Reward: -8719.00 | Avg Loss: 220.6140 | Epsilon: 0.831
Episode 38/200 | Reward: -8665.00 | Avg Loss: 222.4164 | Epsilon: 0.827
Episode 39/200 | Reward: -9683.00 | Avg Loss: 227.8166 | Epsilon: 0.822
Episode 40/200 | Reward: -9255.00 | Avg Loss: 212.6054 | Epsilon: 0.818
Episode 41/200 | Reward: -7989.00 | Avg Loss: 311.7537 | Epsilon: 0.814
Episode 42/200 | Reward: -10294.00 | Avg Loss: 292.8670 | Epsilon: 0.810
Episode 43/200 | Reward: -8761.00 | Avg Loss: 290.7408 | Epsilon: 0.806
Episode 44/200 | Reward: -9362.00 | Avg Loss: 294.3159 | Epsilon: 0.802
Episode 45/200 | Reward: -8946.00 | Avg Loss: 285.8186 | Epsilon: 0.798
Episode 46/200 | Reward: -10168.00 | Avg Loss: 276.1456 | Epsilon: 0.794
Episode 47/200 | Reward: -9373.00 | Avg Loss: 279.4293 | Epsilon: 0.790
Episode 48/200 | Reward: -9566.00 | Avg Loss: 262.8408 | Epsilon: 0.786
Episode 49/200 | Reward: -9384.00 | Avg Loss: 253.1327 | Epsilon: 0.782
Episode 50/200 | Reward: -9603.00 | Avg Loss: 262.5024 | Epsilon: 0.778
Episode 51/200 | Reward: -9311.00 | Avg Loss: 356.8453 | Epsilon: 0.774
