Simulator Started for experiment: stage0_baseline on cpu
Episode 1/200 | Reward: -9003.00 | Avg Loss: 21.9837 | Epsilon: 0.995
Episode 2/200 | Reward: -12421.00 | Avg Loss: 7.6613 | Epsilon: 0.990
Episode 3/200 | Reward: -10592.00 | Avg Loss: 5.6688 | Epsilon: 0.985
Episode 4/200 | Reward: -11598.00 | Avg Loss: 4.7408 | Epsilon: 0.980
Episode 5/200 | Reward: -12018.00 | Avg Loss: 4.1235 | Epsilon: 0.975
Episode 6/200 | Reward: -10792.00 | Avg Loss: 3.8113 | Epsilon: 0.970
Episode 7/200 | Reward: -9234.00 | Avg Loss: 3.7497 | Epsilon: 0.966
Episode 8/200 | Reward: -12136.00 | Avg Loss: 3.7443 | Epsilon: 0.961
Episode 9/200 | Reward: -11394.00 | Avg Loss: 3.6990 | Epsilon: 0.956
Episode 10/200 | Reward: -11291.00 | Avg Loss: 3.6423 | Epsilon: 0.951
Episode 11/200 | Reward: -11146.00 | Avg Loss: 11.8622 | Epsilon: 0.946
Episode 12/200 | Reward: -10827.00 | Avg Loss: 6.8630 | Epsilon: 0.942
Episode 13/200 | Reward: -11628.00 | Avg Loss: 6.4894 | Epsilon: 0.937
Episode 14/200 | Reward: -9581.00 | Avg Loss: 6.3896 | Epsilon: 0.932
Episode 15/200 | Reward: -11344.00 | Avg Loss: 6.4084 | Epsilon: 0.928
Episode 16/200 | Reward: -11229.00 | Avg Loss: 6.4050 | Epsilon: 0.923
Episode 17/200 | Reward: -10636.00 | Avg Loss: 6.2598 | Epsilon: 0.918
Episode 18/200 | Reward: -9986.00 | Avg Loss: 6.3663 | Epsilon: 0.914
Episode 19/200 | Reward: -10354.00 | Avg Loss: 6.2616 | Epsilon: 0.909
Episode 20/200 | Reward: -9961.00 | Avg Loss: 6.2330 | Epsilon: 0.905
Episode 21/200 | Reward: -11324.00 | Avg Loss: 12.4334 | Epsilon: 0.900
Episode 22/200 | Reward: -9368.00 | Avg Loss: 9.0918 | Epsilon: 0.896
Episode 23/200 | Reward: -9547.00 | Avg Loss: 8.7572 | Epsilon: 0.891
Episode 24/200 | Reward: -9108.00 | Avg Loss: 8.6734 | Epsilon: 0.887
Episode 25/200 | Reward: -10944.00 | Avg Loss: 8.5832 | Epsilon: 0.882
Episode 26/200 | Reward: -9232.00 | Avg Loss: 8.4675 | Epsilon: 0.878
Episode 27/200 | Reward: -9267.00 | Avg Loss: 8.4025 | Epsilon: 0.873
Episode 28/200 | Reward: -8687.00 | Avg Loss: 8.2859 | Epsilon: 0.869
Episode 29/200 | Reward: -9657.00 | Avg Loss: 8.3104 | Epsilon: 0.865
Episode 30/200 | Reward: -10357.00 | Avg Loss: 8.1905 | Epsilon: 0.860
Episode 31/200 | Reward: -9455.00 | Avg Loss: 12.1676 | Epsilon: 0.856
Episode 32/200 | Reward: -8769.00 | Avg Loss: 10.1587 | Epsilon: 0.852
Episode 33/200 | Reward: -9957.00 | Avg Loss: 9.9813 | Epsilon: 0.848
Episode 34/200 | Reward: -8900.00 | Avg Loss: 9.9049 | Epsilon: 0.843
Episode 35/200 | Reward: -8975.00 | Avg Loss: 10.0203 | Epsilon: 0.839
Episode 36/200 | Reward: -8503.00 | Avg Loss: 9.8595 | Epsilon: 0.835
Episode 37/200 | Reward: -10048.00 | Avg Loss: 9.7681 | Epsilon: 0.831
