Simulator Started for experiment: stage1_speed_variation on cpu
Episode 1/200 | Reward: -9181.00 | Avg Loss: 22.7596 | Epsilon: 0.995
Episode 2/200 | Reward: -12508.00 | Avg Loss: 7.6995 | Epsilon: 0.990
Episode 3/200 | Reward: -10575.00 | Avg Loss: 5.5225 | Epsilon: 0.985
Episode 4/200 | Reward: -11136.00 | Avg Loss: 4.6077 | Epsilon: 0.980
Episode 5/200 | Reward: -12563.00 | Avg Loss: 4.0691 | Epsilon: 0.975
Episode 6/200 | Reward: -10888.00 | Avg Loss: 3.8044 | Epsilon: 0.970
Episode 7/200 | Reward: -9829.00 | Avg Loss: 3.7193 | Epsilon: 0.966
Episode 8/200 | Reward: -11904.00 | Avg Loss: 3.6251 | Epsilon: 0.961
Episode 9/200 | Reward: -11212.00 | Avg Loss: 3.5968 | Epsilon: 0.956
Episode 10/200 | Reward: -11722.00 | Avg Loss: 3.5509 | Epsilon: 0.951
Episode 11/200 | Reward: -11969.00 | Avg Loss: 11.9695 | Epsilon: 0.946
Episode 12/200 | Reward: -10606.00 | Avg Loss: 6.8732 | Epsilon: 0.942
Episode 13/200 | Reward: -11349.00 | Avg Loss: 6.6233 | Epsilon: 0.937
Episode 14/200 | Reward: -9802.00 | Avg Loss: 6.5410 | Epsilon: 0.932
Episode 15/200 | Reward: -11621.00 | Avg Loss: 6.5113 | Epsilon: 0.928
Episode 16/200 | Reward: -11233.00 | Avg Loss: 6.5166 | Epsilon: 0.923
Episode 17/200 | Reward: -11035.00 | Avg Loss: 6.5537 | Epsilon: 0.918
Episode 18/200 | Reward: -9921.00 | Avg Loss: 6.5572 | Epsilon: 0.914
Episode 19/200 | Reward: -10189.00 | Avg Loss: 6.4187 | Epsilon: 0.909
Episode 20/200 | Reward: -9689.00 | Avg Loss: 6.4176 | Epsilon: 0.905
Episode 21/200 | Reward: -11824.00 | Avg Loss: 12.9785 | Epsilon: 0.900
Episode 22/200 | Reward: -9245.00 | Avg Loss: 9.4491 | Epsilon: 0.896
Episode 23/200 | Reward: -9003.00 | Avg Loss: 9.0926 | Epsilon: 0.891
Episode 24/200 | Reward: -8685.00 | Avg Loss: 8.8846 | Epsilon: 0.887
Episode 25/200 | Reward: -10991.00 | Avg Loss: 8.8090 | Epsilon: 0.882
Episode 26/200 | Reward: -8827.00 | Avg Loss: 8.6539 | Epsilon: 0.878
Episode 27/200 | Reward: -9717.00 | Avg Loss: 8.7905 | Epsilon: 0.873
Episode 28/200 | Reward: -8650.00 | Avg Loss: 8.7275 | Epsilon: 0.869
