Simulator Started for experiment: stage2_physics_variation on cpu
Episode 1/200 | Reward: -8774.00 | Avg Loss: 21.9090 | Epsilon: 0.995
Episode 2/200 | Reward: -11404.00 | Avg Loss: 6.7953 | Epsilon: 0.990
Episode 3/200 | Reward: -9341.00 | Avg Loss: 5.0062 | Epsilon: 0.985
Episode 4/200 | Reward: -10724.00 | Avg Loss: 4.3004 | Epsilon: 0.980
Episode 5/200 | Reward: -11258.00 | Avg Loss: 4.0398 | Epsilon: 0.975
Episode 6/200 | Reward: -9836.00 | Avg Loss: 3.7908 | Epsilon: 0.970
Episode 7/200 | Reward: -8990.00 | Avg Loss: 3.6812 | Epsilon: 0.966
Episode 8/200 | Reward: -11301.00 | Avg Loss: 3.5448 | Epsilon: 0.961
Episode 9/200 | Reward: -10127.00 | Avg Loss: 3.5022 | Epsilon: 0.956
Episode 10/200 | Reward: -10474.00 | Avg Loss: 3.4416 | Epsilon: 0.951
Episode 11/200 | Reward: -10672.00 | Avg Loss: 11.4428 | Epsilon: 0.946
Episode 12/200 | Reward: -8466.00 | Avg Loss: 6.7334 | Epsilon: 0.942
Episode 13/200 | Reward: -10566.00 | Avg Loss: 6.4556 | Epsilon: 0.937
Episode 14/200 | Reward: -8904.00 | Avg Loss: 6.3859 | Epsilon: 0.932
Episode 15/200 | Reward: -10275.00 | Avg Loss: 6.1997 | Epsilon: 0.928
Episode 16/200 | Reward: -10359.00 | Avg Loss: 6.1738 | Epsilon: 0.923
Episode 17/200 | Reward: -9395.00 | Avg Loss: 6.1989 | Epsilon: 0.918
Episode 18/200 | Reward: -9394.00 | Avg Loss: 6.1745 | Epsilon: 0.914
Episode 19/200 | Reward: -9592.00 | Avg Loss: 6.1075 | Epsilon: 0.909
Episode 20/200 | Reward: -9579.00 | Avg Loss: 6.1557 | Epsilon: 0.905
Episode 21/200 | Reward: -9827.00 | Avg Loss: 11.9110 | Epsilon: 0.900
Episode 22/200 | Reward: -8785.00 | Avg Loss: 8.6130 | Epsilon: 0.896
Episode 23/200 | Reward: -8218.00 | Avg Loss: 8.4042 | Epsilon: 0.891
Episode 24/200 | Reward: -8028.00 | Avg Loss: 8.2336 | Epsilon: 0.887
Episode 25/200 | Reward: -10577.00 | Avg Loss: 8.1226 | Epsilon: 0.882
Episode 26/200 | Reward: -7579.00 | Avg Loss: 8.0150 | Epsilon: 0.878
Episode 27/200 | Reward: -8740.00 | Avg Loss: 7.9757 | Epsilon: 0.873
Episode 28/200 | Reward: -7482.00 | Avg Loss: 7.9169 | Epsilon: 0.869
Episode 29/200 | Reward: -8580.00 | Avg Loss: 7.9141 | Epsilon: 0.865
Episode 30/200 | Reward: -9596.00 | Avg Loss: 7.7942 | Epsilon: 0.860
Episode 31/200 | Reward: -7829.00 | Avg Loss: 11.5965 | Epsilon: 0.856
Episode 32/200 | Reward: -7592.00 | Avg Loss: 9.7101 | Epsilon: 0.852
Episode 33/200 | Reward: -9004.00 | Avg Loss: 9.5194 | Epsilon: 0.848
Episode 34/200 | Reward: -7963.00 | Avg Loss: 9.4159 | Epsilon: 0.843
Episode 35/200 | Reward: -8468.00 | Avg Loss: 9.5162 | Epsilon: 0.839
Episode 36/200 | Reward: -8073.00 | Avg Loss: 9.3871 | Epsilon: 0.835
Episode 37/200 | Reward: -9140.00 | Avg Loss: 9.2700 | Epsilon: 0.831
Episode 38/200 | Reward: -8763.00 | Avg Loss: 9.3290 | Epsilon: 0.827
Episode 39/200 | Reward: -8497.00 | Avg Loss: 9.1965 | Epsilon: 0.822
Episode 40/200 | Reward: -7442.00 | Avg Loss: 9.3092 | Epsilon: 0.818
Episode 41/200 | Reward: -7318.00 | Avg Loss: 11.9858 | Epsilon: 0.814
Episode 42/200 | Reward: -8609.00 | Avg Loss: 10.5637 | Epsilon: 0.810
Episode 43/200 | Reward: -7837.00 | Avg Loss: 10.3842 | Epsilon: 0.806
Episode 44/200 | Reward: -7583.00 | Avg Loss: 10.3594 | Epsilon: 0.802
Episode 45/200 | Reward: -8673.00 | Avg Loss: 10.1715 | Epsilon: 0.798
Episode 46/200 | Reward: -8821.00 | Avg Loss: 10.1160 | Epsilon: 0.794
Episode 47/200 | Reward: -8453.00 | Avg Loss: 10.1045 | Epsilon: 0.790
Episode 48/200 | Reward: -6685.00 | Avg Loss: 9.9565 | Epsilon: 0.786
Episode 49/200 | Reward: -7591.00 | Avg Loss: 9.8741 | Epsilon: 0.782
Episode 50/200 | Reward: -7536.00 | Avg Loss: 10.0749 | Epsilon: 0.778
Episode 51/200 | Reward: -8565.00 | Avg Loss: 11.9271 | Epsilon: 0.774
Episode 52/200 | Reward: -7139.00 | Avg Loss: 10.6594 | Epsilon: 0.771
Episode 53/200 | Reward: -8295.00 | Avg Loss: 10.4482 | Epsilon: 0.767
Episode 54/200 | Reward: -8171.00 | Avg Loss: 10.4809 | Epsilon: 0.763
Episode 55/200 | Reward: -7801.00 | Avg Loss: 10.3537 | Epsilon: 0.759
Episode 56/200 | Reward: -8096.00 | Avg Loss: 10.2240 | Epsilon: 0.755
Episode 57/200 | Reward: -6672.00 | Avg Loss: 10.2817 | Epsilon: 0.751
Episode 58/200 | Reward: -8650.00 | Avg Loss: 10.1989 | Epsilon: 0.748
Episode 59/200 | Reward: -7958.00 | Avg Loss: 10.2141 | Epsilon: 0.744
Episode 60/200 | Reward: -7456.00 | Avg Loss: 10.2010 | Epsilon: 0.740
Episode 61/200 | Reward: -7799.00 | Avg Loss: 11.6422 | Epsilon: 0.737
Episode 62/200 | Reward: -6922.00 | Avg Loss: 10.3733 | Epsilon: 0.733
Episode 63/200 | Reward: -7418.00 | Avg Loss: 10.2375 | Epsilon: 0.729
Episode 64/200 | Reward: -6641.00 | Avg Loss: 10.0033 | Epsilon: 0.726
Episode 65/200 | Reward: -7396.00 | Avg Loss: 10.0008 | Epsilon: 0.722
Episode 66/200 | Reward: -7105.00 | Avg Loss: 10.2255 | Epsilon: 0.718
Episode 67/200 | Reward: -6213.00 | Avg Loss: 10.0795 | Epsilon: 0.715
Episode 68/200 | Reward: -7940.00 | Avg Loss: 9.8730 | Epsilon: 0.711
Episode 69/200 | Reward: -7623.00 | Avg Loss: 10.1369 | Epsilon: 0.708
Episode 70/200 | Reward: -6931.00 | Avg Loss: 10.1362 | Epsilon: 0.704
Episode 71/200 | Reward: -7614.00 | Avg Loss: 11.1291 | Epsilon: 0.701
Episode 72/200 | Reward: -6677.00 | Avg Loss: 10.2731 | Epsilon: 0.697
Episode 73/200 | Reward: -7686.00 | Avg Loss: 10.3226 | Epsilon: 0.694
Episode 74/200 | Reward: -7530.00 | Avg Loss: 10.1459 | Epsilon: 0.690
Episode 75/200 | Reward: -6421.00 | Avg Loss: 9.8948 | Epsilon: 0.687
Episode 76/200 | Reward: -6942.00 | Avg Loss: 10.0828 | Epsilon: 0.683
Episode 77/200 | Reward: -6456.00 | Avg Loss: 9.9196 | Epsilon: 0.680
Episode 78/200 | Reward: -7717.00 | Avg Loss: 9.7272 | Epsilon: 0.676
Episode 79/200 | Reward: -6725.00 | Avg Loss: 9.8847 | Epsilon: 0.673
Episode 80/200 | Reward: -6669.00 | Avg Loss: 10.0558 | Epsilon: 0.670
Episode 81/200 | Reward: -6702.00 | Avg Loss: 10.9915 | Epsilon: 0.666
Episode 82/200 | Reward: -6580.00 | Avg Loss: 10.1267 | Epsilon: 0.663
Episode 83/200 | Reward: -7062.00 | Avg Loss: 10.0151 | Epsilon: 0.660
Episode 84/200 | Reward: -7640.00 | Avg Loss: 9.8744 | Epsilon: 0.656
Episode 85/200 | Reward: -7512.00 | Avg Loss: 9.9815 | Epsilon: 0.653
Episode 86/200 | Reward: -6929.00 | Avg Loss: 9.7046 | Epsilon: 0.650
Episode 87/200 | Reward: -6775.00 | Avg Loss: 9.7122 | Epsilon: 0.647
Episode 88/200 | Reward: -7729.00 | Avg Loss: 9.7552 | Epsilon: 0.643
Episode 89/200 | Reward: -6552.00 | Avg Loss: 9.7775 | Epsilon: 0.640
Episode 90/200 | Reward: -7380.00 | Avg Loss: 9.9031 | Epsilon: 0.637
Episode 91/200 | Reward: -7986.00 | Avg Loss: 11.2729 | Epsilon: 0.634
Episode 92/200 | Reward: -7134.00 | Avg Loss: 9.8741 | Epsilon: 0.631
Episode 93/200 | Reward: -6701.00 | Avg Loss: 9.8599 | Epsilon: 0.627
Episode 94/200 | Reward: -6766.00 | Avg Loss: 9.8656 | Epsilon: 0.624
Episode 95/200 | Reward: -5983.00 | Avg Loss: 9.9838 | Epsilon: 0.621
Episode 96/200 | Reward: -6397.00 | Avg Loss: 9.7697 | Epsilon: 0.618
Episode 97/200 | Reward: -7318.00 | Avg Loss: 9.6552 | Epsilon: 0.615
Episode 98/200 | Reward: -6926.00 | Avg Loss: 9.7369 | Epsilon: 0.612
Episode 99/200 | Reward: -6559.00 | Avg Loss: 9.7768 | Epsilon: 0.609
