Simulator Started for experiment: stage2_rush_hour on cpu
Episode 1/100 | Reward: -0.11 | Loss: 0.0010 | Eps: 0.995
Episode 2/100 | Reward: -0.16 | Loss: 0.0010 | Eps: 0.990
Episode 3/100 | Reward: -0.05 | Loss: 0.0010 | Eps: 0.985
Episode 4/100 | Reward: -0.22 | Loss: 0.0010 | Eps: 0.980
Episode 5/100 | Reward: -0.38 | Loss: 0.0010 | Eps: 0.975
Episode 6/100 | Reward: -0.39 | Loss: 0.0010 | Eps: 0.970
Episode 7/100 | Reward: -0.32 | Loss: 0.0010 | Eps: 0.966
Episode 8/100 | Reward: -0.11 | Loss: 0.0010 | Eps: 0.961
Episode 9/100 | Reward: -0.14 | Loss: 0.0010 | Eps: 0.956
Episode 10/100 | Reward: -0.10 | Loss: 0.0010 | Eps: 0.951
Episode 11/100 | Reward: -0.28 | Loss: 0.0011 | Eps: 0.946
Episode 12/100 | Reward: -0.32 | Loss: 0.0010 | Eps: 0.942
Episode 13/100 | Reward: -0.91 | Loss: 0.0010 | Eps: 0.937
Episode 14/100 | Reward: -1.34 | Loss: 0.0010 | Eps: 0.932
Episode 15/100 | Reward: -0.42 | Loss: 0.0010 | Eps: 0.928
Episode 16/100 | Reward: -0.08 | Loss: 0.0010 | Eps: 0.923
Episode 17/100 | Reward: -0.12 | Loss: 0.0009 | Eps: 0.918
Episode 18/100 | Reward: -0.18 | Loss: 0.0009 | Eps: 0.914
Episode 19/100 | Reward: -0.35 | Loss: 0.0009 | Eps: 0.909
Episode 20/100 | Reward: -0.11 | Loss: 0.0009 | Eps: 0.905
Episode 21/100 | Reward: -1.06 | Loss: 0.0009 | Eps: 0.900
Episode 22/100 | Reward: -0.35 | Loss: 0.0009 | Eps: 0.896
Episode 23/100 | Reward: -0.14 | Loss: 0.0009 | Eps: 0.891
Episode 24/100 | Reward: -0.43 | Loss: 0.0009 | Eps: 0.887
Episode 25/100 | Reward: -0.43 | Loss: 0.0009 | Eps: 0.882
Episode 26/100 | Reward: -0.14 | Loss: 0.0009 | Eps: 0.878
Episode 27/100 | Reward: -0.26 | Loss: 0.0009 | Eps: 0.873
Episode 28/100 | Reward: -0.13 | Loss: 0.0009 | Eps: 0.869
Episode 29/100 | Reward: -0.19 | Loss: 0.0010 | Eps: 0.865
Episode 30/100 | Reward: -0.13 | Loss: 0.0010 | Eps: 0.860
Episode 31/100 | Reward: -0.13 | Loss: 0.0009 | Eps: 0.856
Episode 32/100 | Reward: -0.26 | Loss: 0.0009 | Eps: 0.852
