Simulator Started for experiment: stage3_flow_variation on cpu
Episode 1/200 | Reward: -8620.00 | Avg Loss: 21.4239 | Epsilon: 0.995
Episode 2/200 | Reward: -10781.00 | Avg Loss: 6.5009 | Epsilon: 0.990
Episode 3/200 | Reward: -9332.00 | Avg Loss: 5.1927 | Epsilon: 0.985
Episode 4/200 | Reward: -9605.00 | Avg Loss: 4.4822 | Epsilon: 0.980
Episode 5/200 | Reward: -10526.00 | Avg Loss: 4.0355 | Epsilon: 0.975
Episode 6/200 | Reward: -10271.00 | Avg Loss: 3.7351 | Epsilon: 0.970
Episode 7/200 | Reward: -8920.00 | Avg Loss: 3.6853 | Epsilon: 0.966
Episode 8/200 | Reward: -11098.00 | Avg Loss: 3.5480 | Epsilon: 0.961
Episode 9/200 | Reward: -10010.00 | Avg Loss: 3.4719 | Epsilon: 0.956
Episode 10/200 | Reward: -10519.00 | Avg Loss: 3.4337 | Epsilon: 0.951
Episode 11/200 | Reward: -10036.00 | Avg Loss: 11.2226 | Epsilon: 0.946
Episode 12/200 | Reward: -8589.00 | Avg Loss: 6.6650 | Epsilon: 0.942
Episode 13/200 | Reward: -10666.00 | Avg Loss: 6.3839 | Epsilon: 0.937
Episode 14/200 | Reward: -8831.00 | Avg Loss: 6.2820 | Epsilon: 0.932
Episode 15/200 | Reward: -10278.00 | Avg Loss: 6.2260 | Epsilon: 0.928
Episode 16/200 | Reward: -10138.00 | Avg Loss: 6.1433 | Epsilon: 0.923
Episode 17/200 | Reward: -9974.00 | Avg Loss: 6.0991 | Epsilon: 0.918
Episode 18/200 | Reward: -9416.00 | Avg Loss: 6.0965 | Epsilon: 0.914
Episode 19/200 | Reward: -9087.00 | Avg Loss: 6.0052 | Epsilon: 0.909
Episode 20/200 | Reward: -8811.00 | Avg Loss: 5.9823 | Epsilon: 0.905
Episode 21/200 | Reward: -9774.00 | Avg Loss: 11.7507 | Epsilon: 0.900
Episode 22/200 | Reward: -8290.00 | Avg Loss: 8.7328 | Epsilon: 0.896
Episode 23/200 | Reward: -8237.00 | Avg Loss: 8.3672 | Epsilon: 0.891
Episode 24/200 | Reward: -8034.00 | Avg Loss: 8.1349 | Epsilon: 0.887
Episode 25/200 | Reward: -9881.00 | Avg Loss: 8.1137 | Epsilon: 0.882
Episode 26/200 | Reward: -8902.00 | Avg Loss: 7.9542 | Epsilon: 0.878
Episode 27/200 | Reward: -8796.00 | Avg Loss: 7.8718 | Epsilon: 0.873
Episode 28/200 | Reward: -7997.00 | Avg Loss: 7.8336 | Epsilon: 0.869
Episode 29/200 | Reward: -8165.00 | Avg Loss: 7.9658 | Epsilon: 0.865
Episode 30/200 | Reward: -9325.00 | Avg Loss: 7.8025 | Epsilon: 0.860
Episode 31/200 | Reward: -8891.00 | Avg Loss: 11.2495 | Epsilon: 0.856
Episode 32/200 | Reward: -7629.00 | Avg Loss: 9.4860 | Epsilon: 0.852
Episode 33/200 | Reward: -9592.00 | Avg Loss: 9.2040 | Epsilon: 0.848
Episode 34/200 | Reward: -7802.00 | Avg Loss: 9.1213 | Epsilon: 0.843
Episode 35/200 | Reward: -7931.00 | Avg Loss: 9.1594 | Epsilon: 0.839
Episode 36/200 | Reward: -8135.00 | Avg Loss: 9.0050 | Epsilon: 0.835
Episode 37/200 | Reward: -9072.00 | Avg Loss: 8.9907 | Epsilon: 0.831
Episode 38/200 | Reward: -9019.00 | Avg Loss: 9.0076 | Epsilon: 0.827
Episode 39/200 | Reward: -7784.00 | Avg Loss: 8.9735 | Epsilon: 0.822
Episode 40/200 | Reward: -7421.00 | Avg Loss: 8.9745 | Epsilon: 0.818
Episode 41/200 | Reward: -7232.00 | Avg Loss: 11.2785 | Epsilon: 0.814
Episode 42/200 | Reward: -8313.00 | Avg Loss: 10.1815 | Epsilon: 0.810
Episode 43/200 | Reward: -7762.00 | Avg Loss: 9.9516 | Epsilon: 0.806
Episode 44/200 | Reward: -7991.00 | Avg Loss: 9.9367 | Epsilon: 0.802
Episode 45/200 | Reward: -9083.00 | Avg Loss: 9.6963 | Epsilon: 0.798
Episode 46/200 | Reward: -8307.00 | Avg Loss: 9.8658 | Epsilon: 0.794
Episode 47/200 | Reward: -8364.00 | Avg Loss: 9.6100 | Epsilon: 0.790
Episode 48/200 | Reward: -7425.00 | Avg Loss: 9.4008 | Epsilon: 0.786
Episode 49/200 | Reward: -7297.00 | Avg Loss: 9.5312 | Epsilon: 0.782
Episode 50/200 | Reward: -7591.00 | Avg Loss: 9.4222 | Epsilon: 0.778
Episode 51/200 | Reward: -8850.00 | Avg Loss: 11.6285 | Epsilon: 0.774
Episode 52/200 | Reward: -7052.00 | Avg Loss: 10.6114 | Epsilon: 0.771
Episode 53/200 | Reward: -7717.00 | Avg Loss: 10.4269 | Epsilon: 0.767
Episode 54/200 | Reward: -8367.00 | Avg Loss: 10.4305 | Epsilon: 0.763
Episode 55/200 | Reward: -8521.00 | Avg Loss: 10.3414 | Epsilon: 0.759
Episode 56/200 | Reward: -7730.00 | Avg Loss: 10.1125 | Epsilon: 0.755
Episode 57/200 | Reward: -7147.00 | Avg Loss: 10.2078 | Epsilon: 0.751
Episode 58/200 | Reward: -8728.00 | Avg Loss: 10.0985 | Epsilon: 0.748
Episode 59/200 | Reward: -8020.00 | Avg Loss: 10.0491 | Epsilon: 0.744
Episode 60/200 | Reward: -8000.00 | Avg Loss: 10.1126 | Epsilon: 0.740
Episode 61/200 | Reward: -8064.00 | Avg Loss: 11.9224 | Epsilon: 0.737
Episode 62/200 | Reward: -6952.00 | Avg Loss: 10.6617 | Epsilon: 0.733
Episode 63/200 | Reward: -6911.00 | Avg Loss: 10.4004 | Epsilon: 0.729
Episode 64/200 | Reward: -6614.00 | Avg Loss: 10.3834 | Epsilon: 0.726
Episode 65/200 | Reward: -7929.00 | Avg Loss: 10.4995 | Epsilon: 0.722
Episode 66/200 | Reward: -7216.00 | Avg Loss: 10.3839 | Epsilon: 0.718
Episode 67/200 | Reward: -6630.00 | Avg Loss: 10.3293 | Epsilon: 0.715
Episode 68/200 | Reward: -7905.00 | Avg Loss: 10.2163 | Epsilon: 0.711
Episode 69/200 | Reward: -7193.00 | Avg Loss: 10.2931 | Epsilon: 0.708
Episode 70/200 | Reward: -6838.00 | Avg Loss: 10.0962 | Epsilon: 0.704
Episode 71/200 | Reward: -7533.00 | Avg Loss: 11.3615 | Epsilon: 0.701
Episode 72/200 | Reward: -7096.00 | Avg Loss: 10.1450 | Epsilon: 0.697
Episode 73/200 | Reward: -7229.00 | Avg Loss: 10.1643 | Epsilon: 0.694
Episode 74/200 | Reward: -7758.00 | Avg Loss: 10.0606 | Epsilon: 0.690
Episode 75/200 | Reward: -6649.00 | Avg Loss: 9.9774 | Epsilon: 0.687
Episode 76/200 | Reward: -6829.00 | Avg Loss: 9.8791 | Epsilon: 0.683
Episode 77/200 | Reward: -6559.00 | Avg Loss: 9.7389 | Epsilon: 0.680
Episode 78/200 | Reward: -7709.00 | Avg Loss: 9.8916 | Epsilon: 0.676
Episode 79/200 | Reward: -6473.00 | Avg Loss: 9.7924 | Epsilon: 0.673
Episode 80/200 | Reward: -6919.00 | Avg Loss: 10.0788 | Epsilon: 0.670
Episode 81/200 | Reward: -6400.00 | Avg Loss: 11.1515 | Epsilon: 0.666
Episode 82/200 | Reward: -6604.00 | Avg Loss: 10.1107 | Epsilon: 0.663
Episode 83/200 | Reward: -6964.00 | Avg Loss: 9.8133 | Epsilon: 0.660
Episode 84/200 | Reward: -7503.00 | Avg Loss: 9.7447 | Epsilon: 0.656
Episode 85/200 | Reward: -7579.00 | Avg Loss: 9.8009 | Epsilon: 0.653
Episode 86/200 | Reward: -6700.00 | Avg Loss: 9.6997 | Epsilon: 0.650
Episode 87/200 | Reward: -6943.00 | Avg Loss: 9.8037 | Epsilon: 0.647
Episode 88/200 | Reward: -6930.00 | Avg Loss: 9.6385 | Epsilon: 0.643
Episode 89/200 | Reward: -6309.00 | Avg Loss: 9.8268 | Epsilon: 0.640
Episode 90/200 | Reward: -7424.00 | Avg Loss: 9.8535 | Epsilon: 0.637
Episode 91/200 | Reward: -7834.00 | Avg Loss: 11.0651 | Epsilon: 0.634
Episode 92/200 | Reward: -6803.00 | Avg Loss: 10.1835 | Epsilon: 0.631
Episode 93/200 | Reward: -6688.00 | Avg Loss: 9.7664 | Epsilon: 0.627
Episode 94/200 | Reward: -6672.00 | Avg Loss: 9.9462 | Epsilon: 0.624
Episode 95/200 | Reward: -6200.00 | Avg Loss: 10.0545 | Epsilon: 0.621
Episode 96/200 | Reward: -6633.00 | Avg Loss: 9.9743 | Epsilon: 0.618
Episode 97/200 | Reward: -7068.00 | Avg Loss: 9.7981 | Epsilon: 0.615
Episode 98/200 | Reward: -6442.00 | Avg Loss: 9.9908 | Epsilon: 0.612
Episode 99/200 | Reward: -6417.00 | Avg Loss: 9.8557 | Epsilon: 0.609
Episode 100/200 | Reward: -6417.00 | Avg Loss: 9.7151 | Epsilon: 0.606
Episode 101/200 | Reward: -6443.00 | Avg Loss: 11.6439 | Epsilon: 0.603
Episode 102/200 | Reward: -7726.00 | Avg Loss: 10.1925 | Epsilon: 0.600
Episode 103/200 | Reward: -6810.00 | Avg Loss: 10.0761 | Epsilon: 0.597
Episode 104/200 | Reward: -7287.00 | Avg Loss: 10.1362 | Epsilon: 0.594
Episode 105/200 | Reward: -6490.00 | Avg Loss: 10.1443 | Epsilon: 0.591
Episode 106/200 | Reward: -6645.00 | Avg Loss: 9.9552 | Epsilon: 0.588
Episode 107/200 | Reward: -6612.00 | Avg Loss: 9.9045 | Epsilon: 0.585
Episode 108/200 | Reward: -6696.00 | Avg Loss: 10.0629 | Epsilon: 0.582
Episode 109/200 | Reward: -6747.00 | Avg Loss: 10.2322 | Epsilon: 0.579
Episode 110/200 | Reward: -6767.00 | Avg Loss: 10.1343 | Epsilon: 0.576
Episode 111/200 | Reward: -7424.00 | Avg Loss: 11.5730 | Epsilon: 0.573
Episode 112/200 | Reward: -6806.00 | Avg Loss: 10.3400 | Epsilon: 0.570
Episode 113/200 | Reward: -6060.00 | Avg Loss: 10.4209 | Epsilon: 0.568
Episode 114/200 | Reward: -6773.00 | Avg Loss: 10.1113 | Epsilon: 0.565
Episode 115/200 | Reward: -6770.00 | Avg Loss: 9.8550 | Epsilon: 0.562
Episode 116/200 | Reward: -6686.00 | Avg Loss: 9.7658 | Epsilon: 0.559
Episode 117/200 | Reward: -6083.00 | Avg Loss: 10.0395 | Epsilon: 0.556
Episode 118/200 | Reward: -7020.00 | Avg Loss: 10.0626 | Epsilon: 0.554
Episode 119/200 | Reward: -6325.00 | Avg Loss: 10.3305 | Epsilon: 0.551
Episode 120/200 | Reward: -6227.00 | Avg Loss: 9.9976 | Epsilon: 0.548
Episode 121/200 | Reward: -6088.00 | Avg Loss: 11.4951 | Epsilon: 0.545
Episode 122/200 | Reward: -6933.00 | Avg Loss: 10.8200 | Epsilon: 0.543
Episode 123/200 | Reward: -6965.00 | Avg Loss: 10.4915 | Epsilon: 0.540
Episode 124/200 | Reward: -6658.00 | Avg Loss: 10.6310 | Epsilon: 0.537
Episode 125/200 | Reward: -6036.00 | Avg Loss: 10.3156 | Epsilon: 0.534
Episode 126/200 | Reward: -6430.00 | Avg Loss: 10.5504 | Epsilon: 0.532
Episode 127/200 | Reward: -6186.00 | Avg Loss: 10.4584 | Epsilon: 0.529
Episode 128/200 | Reward: -6369.00 | Avg Loss: 10.5221 | Epsilon: 0.526
Episode 129/200 | Reward: -6222.00 | Avg Loss: 10.3418 | Epsilon: 0.524
Episode 130/200 | Reward: -6324.00 | Avg Loss: 10.3296 | Epsilon: 0.521
Episode 131/200 | Reward: -7166.00 | Avg Loss: 11.9957 | Epsilon: 0.519
Episode 132/200 | Reward: -6441.00 | Avg Loss: 10.7853 | Epsilon: 0.516
Episode 133/200 | Reward: -7211.00 | Avg Loss: 11.1312 | Epsilon: 0.513
Episode 134/200 | Reward: -5837.00 | Avg Loss: 10.8663 | Epsilon: 0.511
Episode 135/200 | Reward: -6247.00 | Avg Loss: 10.8091 | Epsilon: 0.508
Episode 136/200 | Reward: -6657.00 | Avg Loss: 10.9318 | Epsilon: 0.506
Episode 137/200 | Reward: -6387.00 | Avg Loss: 10.6071 | Epsilon: 0.503
Episode 138/200 | Reward: -6260.00 | Avg Loss: 10.9203 | Epsilon: 0.501
Episode 139/200 | Reward: -6266.00 | Avg Loss: 10.7696 | Epsilon: 0.498
Episode 140/200 | Reward: -5959.00 | Avg Loss: 11.1920 | Epsilon: 0.496
Episode 141/200 | Reward: -6489.00 | Avg Loss: 12.3811 | Epsilon: 0.493
Episode 142/200 | Reward: -6465.00 | Avg Loss: 11.4043 | Epsilon: 0.491
Episode 143/200 | Reward: -6759.00 | Avg Loss: 11.1796 | Epsilon: 0.488
Episode 144/200 | Reward: -6315.00 | Avg Loss: 11.3741 | Epsilon: 0.486
Episode 145/200 | Reward: -6010.00 | Avg Loss: 10.9736 | Epsilon: 0.483
Episode 146/200 | Reward: -6471.00 | Avg Loss: 11.0536 | Epsilon: 0.481
Episode 147/200 | Reward: -6070.00 | Avg Loss: 11.1405 | Epsilon: 0.479
Episode 148/200 | Reward: -6503.00 | Avg Loss: 11.3481 | Epsilon: 0.476
Episode 149/200 | Reward: -6329.00 | Avg Loss: 10.8166 | Epsilon: 0.474
Episode 150/200 | Reward: -6249.00 | Avg Loss: 11.0023 | Epsilon: 0.471
Episode 151/200 | Reward: -6536.00 | Avg Loss: 11.8574 | Epsilon: 0.469
Episode 152/200 | Reward: -5875.00 | Avg Loss: 11.2980 | Epsilon: 0.467
Episode 153/200 | Reward: -5862.00 | Avg Loss: 11.1832 | Epsilon: 0.464
