Simulator Started for experiment: stage3_gridlock on cpu
Episode 1/200 | Reward: -514.63 | Loss: 0.0101 | Eps: 0.995
Episode 2/200 | Reward: -661.93 | Loss: 0.0057 | Eps: 0.990
Episode 3/200 | Reward: -459.41 | Loss: 0.0054 | Eps: 0.985
Episode 4/200 | Reward: -548.89 | Loss: 0.0053 | Eps: 0.980
Episode 5/200 | Reward: -869.64 | Loss: 0.0056 | Eps: 0.975
Episode 6/200 | Reward: -645.18 | Loss: 0.0058 | Eps: 0.970
Episode 7/200 | Reward: -715.01 | Loss: 0.0061 | Eps: 0.966
Episode 8/200 | Reward: -434.67 | Loss: 0.0057 | Eps: 0.961
Episode 9/200 | Reward: -707.05 | Loss: 0.0056 | Eps: 0.956
Episode 10/200 | Reward: -501.99 | Loss: 0.0057 | Eps: 0.951
Episode 11/200 | Reward: -660.79 | Loss: 0.0260 | Eps: 0.946
Episode 12/200 | Reward: -829.04 | Loss: 0.0202 | Eps: 0.942
Episode 13/200 | Reward: -584.41 | Loss: 0.0203 | Eps: 0.937
Episode 14/200 | Reward: -565.41 | Loss: 0.0197 | Eps: 0.932
Episode 15/200 | Reward: -1147.45 | Loss: 0.0206 | Eps: 0.928
Episode 16/200 | Reward: -952.20 | Loss: 0.0205 | Eps: 0.923
Episode 17/200 | Reward: -628.56 | Loss: 0.0202 | Eps: 0.918
Episode 18/200 | Reward: -713.21 | Loss: 0.0211 | Eps: 0.914
Episode 19/200 | Reward: -790.55 | Loss: 0.0213 | Eps: 0.909
Episode 20/200 | Reward: -522.56 | Loss: 0.0214 | Eps: 0.905
Episode 21/200 | Reward: -760.59 | Loss: 0.0637 | Eps: 0.900
Episode 22/200 | Reward: -579.35 | Loss: 0.0524 | Eps: 0.896
Episode 23/200 | Reward: -991.69 | Loss: 0.0503 | Eps: 0.891
Episode 24/200 | Reward: -560.41 | Loss: 0.0506 | Eps: 0.887
Episode 25/200 | Reward: -814.19 | Loss: 0.0480 | Eps: 0.882
Episode 26/200 | Reward: -742.74 | Loss: 0.0473 | Eps: 0.878
Episode 27/200 | Reward: -581.23 | Loss: 0.0454 | Eps: 0.873
Episode 28/200 | Reward: -648.46 | Loss: 0.0433 | Eps: 0.869
Episode 29/200 | Reward: -737.41 | Loss: 0.0427 | Eps: 0.865
Episode 30/200 | Reward: -768.08 | Loss: 0.0418 | Eps: 0.860
Episode 31/200 | Reward: -751.67 | Loss: 0.0975 | Eps: 0.856
Episode 32/200 | Reward: -756.54 | Loss: 0.0863 | Eps: 0.852
Episode 33/200 | Reward: -681.41 | Loss: 0.0817 | Eps: 0.848
Episode 34/200 | Reward: -864.11 | Loss: 0.0795 | Eps: 0.843
Episode 35/200 | Reward: -948.56 | Loss: 0.0807 | Eps: 0.839
Episode 36/200 | Reward: -794.11 | Loss: 0.0773 | Eps: 0.835
Episode 37/200 | Reward: -586.76 | Loss: 0.0778 | Eps: 0.831
Episode 38/200 | Reward: -513.51 | Loss: 0.0746 | Eps: 0.827
Episode 39/200 | Reward: -659.36 | Loss: 0.0762 | Eps: 0.822
Episode 40/200 | Reward: -495.80 | Loss: 0.0745 | Eps: 0.818
Episode 41/200 | Reward: -613.81 | Loss: 0.1430 | Eps: 0.814
Episode 42/200 | Reward: -655.78 | Loss: 0.1252 | Eps: 0.810
Episode 43/200 | Reward: -639.62 | Loss: 0.1221 | Eps: 0.806
Episode 44/200 | Reward: -529.86 | Loss: 0.1096 | Eps: 0.802
Episode 45/200 | Reward: -778.05 | Loss: 0.1118 | Eps: 0.798
Episode 46/200 | Reward: -864.98 | Loss: 0.1087 | Eps: 0.794
Episode 47/200 | Reward: -685.14 | Loss: 0.1095 | Eps: 0.790
Episode 48/200 | Reward: -549.64 | Loss: 0.1098 | Eps: 0.786
Episode 49/200 | Reward: -577.08 | Loss: 0.1092 | Eps: 0.782
Episode 50/200 | Reward: -1133.37 | Loss: 0.1119 | Eps: 0.778
Episode 51/200 | Reward: -517.86 | Loss: 0.1890 | Eps: 0.774
Episode 52/200 | Reward: -708.86 | Loss: 0.1683 | Eps: 0.771
Episode 53/200 | Reward: -669.33 | Loss: 0.1616 | Eps: 0.767
Episode 54/200 | Reward: -633.20 | Loss: 0.1679 | Eps: 0.763
Episode 55/200 | Reward: -827.02 | Loss: 0.1673 | Eps: 0.759
Episode 56/200 | Reward: -666.88 | Loss: 0.1680 | Eps: 0.755
Episode 57/200 | Reward: -1164.42 | Loss: 0.1705 | Eps: 0.751
Episode 58/200 | Reward: -530.27 | Loss: 0.1765 | Eps: 0.748
Episode 59/200 | Reward: -648.17 | Loss: 0.1704 | Eps: 0.744
Episode 60/200 | Reward: -590.39 | Loss: 0.1695 | Eps: 0.740
Episode 61/200 | Reward: -545.46 | Loss: 0.2616 | Eps: 0.737
Episode 62/200 | Reward: -673.59 | Loss: 0.2478 | Eps: 0.733
Episode 63/200 | Reward: -880.89 | Loss: 0.2429 | Eps: 0.729
Episode 64/200 | Reward: -768.85 | Loss: 0.2348 | Eps: 0.726
Episode 65/200 | Reward: -578.91 | Loss: 0.2297 | Eps: 0.722
Episode 66/200 | Reward: -644.18 | Loss: 0.2277 | Eps: 0.718
Episode 67/200 | Reward: -854.84 | Loss: 0.2253 | Eps: 0.715
Episode 68/200 | Reward: -593.97 | Loss: 0.2252 | Eps: 0.711
Episode 69/200 | Reward: -686.38 | Loss: 0.2259 | Eps: 0.708
Episode 70/200 | Reward: -585.29 | Loss: 0.2237 | Eps: 0.704
Episode 71/200 | Reward: -811.05 | Loss: 0.3220 | Eps: 0.701
Episode 72/200 | Reward: -696.56 | Loss: 0.3133 | Eps: 0.697
Episode 73/200 | Reward: -662.98 | Loss: 0.3044 | Eps: 0.694
Episode 74/200 | Reward: -575.03 | Loss: 0.3021 | Eps: 0.690
Episode 75/200 | Reward: -797.78 | Loss: 0.3050 | Eps: 0.687
Episode 76/200 | Reward: -583.45 | Loss: 0.3041 | Eps: 0.683
Episode 77/200 | Reward: -557.71 | Loss: 0.2946 | Eps: 0.680
Episode 78/200 | Reward: -695.44 | Loss: 0.2835 | Eps: 0.676
Episode 79/200 | Reward: -646.03 | Loss: 0.2815 | Eps: 0.673
Episode 80/200 | Reward: -599.66 | Loss: 0.2801 | Eps: 0.670
Episode 81/200 | Reward: -710.06 | Loss: 0.3830 | Eps: 0.666
Episode 82/200 | Reward: -602.43 | Loss: 0.3572 | Eps: 0.663
Episode 83/200 | Reward: -610.11 | Loss: 0.3412 | Eps: 0.660
Episode 84/200 | Reward: -634.99 | Loss: 0.3345 | Eps: 0.656
Episode 85/200 | Reward: -765.90 | Loss: 0.3410 | Eps: 0.653
Episode 86/200 | Reward: -599.55 | Loss: 0.3483 | Eps: 0.650
Episode 87/200 | Reward: -644.46 | Loss: 0.3559 | Eps: 0.647
Episode 88/200 | Reward: -581.72 | Loss: 0.3511 | Eps: 0.643
Episode 89/200 | Reward: -734.97 | Loss: 0.3495 | Eps: 0.640
Episode 90/200 | Reward: -579.74 | Loss: 0.3492 | Eps: 0.637
Episode 91/200 | Reward: -548.23 | Loss: 0.4622 | Eps: 0.634
Episode 92/200 | Reward: -454.35 | Loss: 0.4349 | Eps: 0.631
Episode 93/200 | Reward: -703.10 | Loss: 0.4169 | Eps: 0.627
Episode 94/200 | Reward: -730.30 | Loss: 0.4315 | Eps: 0.624
Episode 95/200 | Reward: -608.95 | Loss: 0.4145 | Eps: 0.621
Episode 96/200 | Reward: -680.93 | Loss: 0.4079 | Eps: 0.618
Episode 97/200 | Reward: -602.44 | Loss: 0.4097 | Eps: 0.615
Episode 98/200 | Reward: -705.78 | Loss: 0.4073 | Eps: 0.612
Episode 99/200 | Reward: -692.39 | Loss: 0.4095 | Eps: 0.609
Episode 100/200 | Reward: -616.93 | Loss: 0.4080 | Eps: 0.606
Episode 101/200 | Reward: -777.66 | Loss: 0.4940 | Eps: 0.603
Episode 102/200 | Reward: -475.76 | Loss: 0.4931 | Eps: 0.600
Episode 103/200 | Reward: -553.83 | Loss: 0.4937 | Eps: 0.597
Episode 104/200 | Reward: -577.66 | Loss: 0.4778 | Eps: 0.594
Episode 105/200 | Reward: -886.14 | Loss: 0.4750 | Eps: 0.591
Episode 106/200 | Reward: -1161.80 | Loss: 0.4879 | Eps: 0.588
Episode 107/200 | Reward: -722.17 | Loss: 0.4984 | Eps: 0.585
Episode 108/200 | Reward: -556.76 | Loss: 0.5012 | Eps: 0.582
Episode 109/200 | Reward: -768.26 | Loss: 0.4979 | Eps: 0.579
Episode 110/200 | Reward: -582.85 | Loss: 0.5030 | Eps: 0.576
Episode 111/200 | Reward: -559.87 | Loss: 0.6167 | Eps: 0.573
Episode 112/200 | Reward: -585.91 | Loss: 0.6008 | Eps: 0.570
Episode 113/200 | Reward: -1020.48 | Loss: 0.6085 | Eps: 0.568
Episode 114/200 | Reward: -704.69 | Loss: 0.6241 | Eps: 0.565
Episode 115/200 | Reward: -870.94 | Loss: 0.6102 | Eps: 0.562
Episode 116/200 | Reward: -747.07 | Loss: 0.6001 | Eps: 0.559
Episode 117/200 | Reward: -479.14 | Loss: 0.5825 | Eps: 0.556
Episode 118/200 | Reward: -506.61 | Loss: 0.5717 | Eps: 0.554
Episode 119/200 | Reward: -958.50 | Loss: 0.5639 | Eps: 0.551
Episode 120/200 | Reward: -725.30 | Loss: 0.5701 | Eps: 0.548
Episode 121/200 | Reward: -518.88 | Loss: 0.6901 | Eps: 0.545
Episode 122/200 | Reward: -627.39 | Loss: 0.6686 | Eps: 0.543
Episode 123/200 | Reward: -615.59 | Loss: 0.6329 | Eps: 0.540
Episode 124/200 | Reward: -643.54 | Loss: 0.6166 | Eps: 0.537
Episode 125/200 | Reward: -690.54 | Loss: 0.6286 | Eps: 0.534
Episode 126/200 | Reward: -856.85 | Loss: 0.6352 | Eps: 0.532
Episode 127/200 | Reward: -538.86 | Loss: 0.6305 | Eps: 0.529
Episode 128/200 | Reward: -679.13 | Loss: 0.6327 | Eps: 0.526
Episode 129/200 | Reward: -888.30 | Loss: 0.6425 | Eps: 0.524
Episode 130/200 | Reward: -408.88 | Loss: 0.6208 | Eps: 0.521
Episode 131/200 | Reward: -719.38 | Loss: 0.7646 | Eps: 0.519
Episode 132/200 | Reward: -566.45 | Loss: 0.7454 | Eps: 0.516
Episode 133/200 | Reward: -616.10 | Loss: 0.7369 | Eps: 0.513
Episode 134/200 | Reward: -487.11 | Loss: 0.7211 | Eps: 0.511
Episode 135/200 | Reward: -616.59 | Loss: 0.7034 | Eps: 0.508
Episode 136/200 | Reward: -776.45 | Loss: 0.6990 | Eps: 0.506
Episode 137/200 | Reward: -851.56 | Loss: 0.7075 | Eps: 0.503
Episode 138/200 | Reward: -746.66 | Loss: 0.7241 | Eps: 0.501
Episode 139/200 | Reward: -451.03 | Loss: 0.6945 | Eps: 0.498
Episode 140/200 | Reward: -698.08 | Loss: 0.6907 | Eps: 0.496
Episode 141/200 | Reward: -624.43 | Loss: 0.7788 | Eps: 0.493
Episode 142/200 | Reward: -468.17 | Loss: 0.7689 | Eps: 0.491
Episode 143/200 | Reward: -452.69 | Loss: 0.7587 | Eps: 0.488
Episode 144/200 | Reward: -413.54 | Loss: 0.7484 | Eps: 0.486
Episode 145/200 | Reward: -774.42 | Loss: 0.7269 | Eps: 0.483
Episode 146/200 | Reward: -654.01 | Loss: 0.7494 | Eps: 0.481
Episode 147/200 | Reward: -509.89 | Loss: 0.7277 | Eps: 0.479
Episode 148/200 | Reward: -953.03 | Loss: 0.7138 | Eps: 0.476
Episode 149/200 | Reward: -530.15 | Loss: 0.7232 | Eps: 0.474
Episode 150/200 | Reward: -588.29 | Loss: 0.7157 | Eps: 0.471
Episode 151/200 | Reward: -513.12 | Loss: 0.8063 | Eps: 0.469
Episode 152/200 | Reward: -1263.10 | Loss: 0.8018 | Eps: 0.467
Episode 153/200 | Reward: -741.77 | Loss: 0.8252 | Eps: 0.464
Episode 154/200 | Reward: -1028.91 | Loss: 0.8597 | Eps: 0.462
Episode 155/200 | Reward: -603.85 | Loss: 0.8642 | Eps: 0.460
Episode 156/200 | Reward: -734.08 | Loss: 0.8564 | Eps: 0.458
Episode 157/200 | Reward: -753.69 | Loss: 0.8768 | Eps: 0.455
Episode 158/200 | Reward: -571.83 | Loss: 0.8645 | Eps: 0.453
Episode 159/200 | Reward: -642.12 | Loss: 0.8515 | Eps: 0.451
Episode 160/200 | Reward: -646.23 | Loss: 0.8664 | Eps: 0.448
Episode 161/200 | Reward: -559.15 | Loss: 1.0209 | Eps: 0.446
Episode 162/200 | Reward: -634.16 | Loss: 1.0147 | Eps: 0.444
Episode 163/200 | Reward: -663.23 | Loss: 0.9691 | Eps: 0.442
Episode 164/200 | Reward: -601.33 | Loss: 0.9643 | Eps: 0.440
Episode 165/200 | Reward: -746.44 | Loss: 0.9585 | Eps: 0.437
Episode 166/200 | Reward: -663.67 | Loss: 0.9592 | Eps: 0.435
Episode 167/200 | Reward: -722.03 | Loss: 0.9424 | Eps: 0.433
Episode 168/200 | Reward: -532.88 | Loss: 0.9466 | Eps: 0.431
Episode 169/200 | Reward: -545.86 | Loss: 0.9508 | Eps: 0.429
Episode 170/200 | Reward: -828.52 | Loss: 0.9410 | Eps: 0.427
Episode 171/200 | Reward: -698.63 | Loss: 1.0294 | Eps: 0.424
Episode 172/200 | Reward: -794.55 | Loss: 1.0271 | Eps: 0.422
Episode 173/200 | Reward: -635.47 | Loss: 1.0421 | Eps: 0.420
Episode 174/200 | Reward: -770.10 | Loss: 1.0530 | Eps: 0.418
Episode 175/200 | Reward: -799.55 | Loss: 1.0455 | Eps: 0.416
Episode 176/200 | Reward: -556.23 | Loss: 1.0550 | Eps: 0.414
Episode 177/200 | Reward: -790.14 | Loss: 1.0156 | Eps: 0.412
Episode 178/200 | Reward: -446.28 | Loss: 1.0342 | Eps: 0.410
Episode 179/200 | Reward: -564.03 | Loss: 1.0258 | Eps: 0.408
Episode 180/200 | Reward: -736.65 | Loss: 1.0319 | Eps: 0.406
Episode 181/200 | Reward: -684.42 | Loss: 1.1573 | Eps: 0.404
Episode 182/200 | Reward: -846.10 | Loss: 1.1260 | Eps: 0.402
Episode 183/200 | Reward: -539.41 | Loss: 1.1360 | Eps: 0.400
Episode 184/200 | Reward: -611.29 | Loss: 1.0872 | Eps: 0.398
Episode 185/200 | Reward: -877.57 | Loss: 1.0648 | Eps: 0.396
Episode 186/200 | Reward: -717.24 | Loss: 1.0679 | Eps: 0.394
Episode 187/200 | Reward: -540.23 | Loss: 1.0888 | Eps: 0.392
Episode 188/200 | Reward: -592.64 | Loss: 1.0791 | Eps: 0.390
Episode 189/200 | Reward: -691.90 | Loss: 1.0960 | Eps: 0.388
Episode 190/200 | Reward: -644.29 | Loss: 1.0858 | Eps: 0.386
Episode 191/200 | Reward: -492.86 | Loss: 1.1712 | Eps: 0.384
Episode 192/200 | Reward: -760.78 | Loss: 1.1470 | Eps: 0.382
Episode 193/200 | Reward: -599.64 | Loss: 1.1310 | Eps: 0.380
Episode 194/200 | Reward: -602.79 | Loss: 1.1332 | Eps: 0.378
Episode 195/200 | Reward: -600.62 | Loss: 1.1188 | Eps: 0.376
Episode 196/200 | Reward: -554.54 | Loss: 1.0942 | Eps: 0.374
Episode 197/200 | Reward: -842.58 | Loss: 1.0986 | Eps: 0.373
Episode 198/200 | Reward: -514.08 | Loss: 1.0969 | Eps: 0.371
Episode 199/200 | Reward: -645.61 | Loss: 1.0812 | Eps: 0.369
Episode 200/200 | Reward: -782.79 | Loss: 1.0814 | Eps: 0.367
