Simulator Started for experiment: stage4_unbalanced_flows on cpu
Episode 1/200 | Reward: -6092.00 | Avg Loss: 15.7677 | Epsilon: 0.995
Episode 2/200 | Reward: -7017.00 | Avg Loss: 6.0288 | Epsilon: 0.990
Episode 3/200 | Reward: -5470.00 | Avg Loss: 5.2809 | Epsilon: 0.985
Episode 4/200 | Reward: -6486.00 | Avg Loss: 4.8336 | Epsilon: 0.980
Episode 5/200 | Reward: -6823.00 | Avg Loss: 4.5579 | Epsilon: 0.975
Episode 6/200 | Reward: -6584.00 | Avg Loss: 4.2044 | Epsilon: 0.970
Episode 7/200 | Reward: -5073.00 | Avg Loss: 4.0045 | Epsilon: 0.966
Episode 8/200 | Reward: -6403.00 | Avg Loss: 3.6460 | Epsilon: 0.961
Episode 9/200 | Reward: -6088.00 | Avg Loss: 3.5166 | Epsilon: 0.956
Episode 10/200 | Reward: -6585.00 | Avg Loss: 3.3477 | Epsilon: 0.951
Episode 11/200 | Reward: -7818.00 | Avg Loss: 8.3351 | Epsilon: 0.946
Episode 12/200 | Reward: -6222.00 | Avg Loss: 6.2604 | Epsilon: 0.942
Episode 13/200 | Reward: -7356.00 | Avg Loss: 5.9591 | Epsilon: 0.937
Episode 14/200 | Reward: -5681.00 | Avg Loss: 5.7930 | Epsilon: 0.932
Episode 15/200 | Reward: -7415.00 | Avg Loss: 5.6857 | Epsilon: 0.928
Episode 16/200 | Reward: -6403.00 | Avg Loss: 5.7023 | Epsilon: 0.923
Episode 17/200 | Reward: -6235.00 | Avg Loss: 5.6044 | Epsilon: 0.918
Episode 18/200 | Reward: -6250.00 | Avg Loss: 5.5466 | Epsilon: 0.914
Episode 19/200 | Reward: -5919.00 | Avg Loss: 5.5886 | Epsilon: 0.909
Episode 20/200 | Reward: -6153.00 | Avg Loss: 5.4672 | Epsilon: 0.905
Episode 21/200 | Reward: -6974.00 | Avg Loss: 9.8285 | Epsilon: 0.900
Episode 22/200 | Reward: -5371.00 | Avg Loss: 8.2612 | Epsilon: 0.896
Episode 23/200 | Reward: -5114.00 | Avg Loss: 7.9728 | Epsilon: 0.891
Episode 24/200 | Reward: -5988.00 | Avg Loss: 7.7457 | Epsilon: 0.887
Episode 25/200 | Reward: -5763.00 | Avg Loss: 7.6690 | Epsilon: 0.882
Episode 26/200 | Reward: -5695.00 | Avg Loss: 7.5193 | Epsilon: 0.878
Episode 27/200 | Reward: -5164.00 | Avg Loss: 7.4747 | Epsilon: 0.873
Episode 28/200 | Reward: -5675.00 | Avg Loss: 7.5007 | Epsilon: 0.869
Episode 29/200 | Reward: -5295.00 | Avg Loss: 7.4042 | Epsilon: 0.865
Episode 30/200 | Reward: -5333.00 | Avg Loss: 7.2334 | Epsilon: 0.860
Episode 31/200 | Reward: -5354.00 | Avg Loss: 10.0268 | Epsilon: 0.856
Episode 32/200 | Reward: -5561.00 | Avg Loss: 8.9593 | Epsilon: 0.852
Episode 33/200 | Reward: -5974.00 | Avg Loss: 8.9768 | Epsilon: 0.848
Episode 34/200 | Reward: -6013.00 | Avg Loss: 8.6650 | Epsilon: 0.843
Episode 35/200 | Reward: -5215.00 | Avg Loss: 8.7167 | Epsilon: 0.839
Episode 36/200 | Reward: -5369.00 | Avg Loss: 8.6826 | Epsilon: 0.835
Episode 37/200 | Reward: -6002.00 | Avg Loss: 8.5663 | Epsilon: 0.831
Episode 38/200 | Reward: -4912.00 | Avg Loss: 8.6551 | Epsilon: 0.827
Episode 39/200 | Reward: -4992.00 | Avg Loss: 8.6197 | Epsilon: 0.822
Episode 40/200 | Reward: -5011.00 | Avg Loss: 8.5604 | Epsilon: 0.818
Episode 41/200 | Reward: -4827.00 | Avg Loss: 10.6506 | Epsilon: 0.814
Episode 42/200 | Reward: -5553.00 | Avg Loss: 9.9429 | Epsilon: 0.810
Episode 43/200 | Reward: -6009.00 | Avg Loss: 9.7609 | Epsilon: 0.806
Episode 44/200 | Reward: -5557.00 | Avg Loss: 9.8319 | Epsilon: 0.802
Episode 45/200 | Reward: -6006.00 | Avg Loss: 9.9159 | Epsilon: 0.798
Episode 46/200 | Reward: -5845.00 | Avg Loss: 9.7105 | Epsilon: 0.794
Episode 47/200 | Reward: -5142.00 | Avg Loss: 9.7231 | Epsilon: 0.790
Episode 48/200 | Reward: -5543.00 | Avg Loss: 9.6516 | Epsilon: 0.786
Episode 49/200 | Reward: -5351.00 | Avg Loss: 9.7855 | Epsilon: 0.782
Episode 50/200 | Reward: -5735.00 | Avg Loss: 9.6386 | Epsilon: 0.778
Episode 51/200 | Reward: -5742.00 | Avg Loss: 11.4084 | Epsilon: 0.774
Episode 52/200 | Reward: -5216.00 | Avg Loss: 10.5558 | Epsilon: 0.771
Episode 53/200 | Reward: -6164.00 | Avg Loss: 10.6385 | Epsilon: 0.767
Episode 54/200 | Reward: -5722.00 | Avg Loss: 10.6327 | Epsilon: 0.763
Episode 55/200 | Reward: -6033.00 | Avg Loss: 10.3879 | Epsilon: 0.759
Episode 56/200 | Reward: -5180.00 | Avg Loss: 10.5441 | Epsilon: 0.755
Episode 57/200 | Reward: -5460.00 | Avg Loss: 10.4165 | Epsilon: 0.751
Episode 58/200 | Reward: -5563.00 | Avg Loss: 10.3549 | Epsilon: 0.748
Episode 59/200 | Reward: -5882.00 | Avg Loss: 10.3946 | Epsilon: 0.744
Episode 60/200 | Reward: -6127.00 | Avg Loss: 10.3938 | Epsilon: 0.740
Episode 61/200 | Reward: -5574.00 | Avg Loss: 11.7696 | Epsilon: 0.737
Episode 62/200 | Reward: -5845.00 | Avg Loss: 11.3160 | Epsilon: 0.733
Episode 63/200 | Reward: -5920.00 | Avg Loss: 10.9469 | Epsilon: 0.729
Episode 64/200 | Reward: -5807.00 | Avg Loss: 11.0246 | Epsilon: 0.726
Episode 65/200 | Reward: -5008.00 | Avg Loss: 11.0753 | Epsilon: 0.722
Episode 66/200 | Reward: -5507.00 | Avg Loss: 10.9168 | Epsilon: 0.718
Episode 67/200 | Reward: -5322.00 | Avg Loss: 10.9897 | Epsilon: 0.715
Episode 68/200 | Reward: -5671.00 | Avg Loss: 11.0684 | Epsilon: 0.711
Episode 69/200 | Reward: -4962.00 | Avg Loss: 10.9496 | Epsilon: 0.708
Episode 70/200 | Reward: -5524.00 | Avg Loss: 11.0243 | Epsilon: 0.704
Episode 71/200 | Reward: -5835.00 | Avg Loss: 12.7225 | Epsilon: 0.701
Episode 72/200 | Reward: -4987.00 | Avg Loss: 12.1961 | Epsilon: 0.697
Episode 73/200 | Reward: -5589.00 | Avg Loss: 12.0492 | Epsilon: 0.694
Episode 74/200 | Reward: -6153.00 | Avg Loss: 12.0029 | Epsilon: 0.690
Episode 75/200 | Reward: -6027.00 | Avg Loss: 12.0967 | Epsilon: 0.687
Episode 76/200 | Reward: -4832.00 | Avg Loss: 11.8413 | Epsilon: 0.683
Episode 77/200 | Reward: -4849.00 | Avg Loss: 11.9892 | Epsilon: 0.680
Episode 78/200 | Reward: -5732.00 | Avg Loss: 11.8834 | Epsilon: 0.676
Episode 79/200 | Reward: -5798.00 | Avg Loss: 12.0131 | Epsilon: 0.673
Episode 80/200 | Reward: -6029.00 | Avg Loss: 11.9067 | Epsilon: 0.670
Episode 81/200 | Reward: -4891.00 | Avg Loss: 13.3732 | Epsilon: 0.666
Episode 82/200 | Reward: -5285.00 | Avg Loss: 12.8593 | Epsilon: 0.663
Episode 83/200 | Reward: -4889.00 | Avg Loss: 12.7239 | Epsilon: 0.660
Episode 84/200 | Reward: -5721.00 | Avg Loss: 12.8974 | Epsilon: 0.656
Episode 85/200 | Reward: -5267.00 | Avg Loss: 12.8079 | Epsilon: 0.653
Episode 86/200 | Reward: -5452.00 | Avg Loss: 12.8428 | Epsilon: 0.650
Episode 87/200 | Reward: -6288.00 | Avg Loss: 12.6461 | Epsilon: 0.647
