Simulator Started for experiment: stage5_conflicting_turns on cpu
Episode 1/200 | Reward: -8681.00 | Avg Loss: 19.5828 | Epsilon: 0.995
Episode 2/200 | Reward: -7673.00 | Avg Loss: 6.6723 | Epsilon: 0.990
Episode 3/200 | Reward: -8550.00 | Avg Loss: 5.2533 | Epsilon: 0.985
Episode 4/200 | Reward: -8481.00 | Avg Loss: 4.8878 | Epsilon: 0.980
Episode 5/200 | Reward: -9237.00 | Avg Loss: 4.7704 | Epsilon: 0.975
Episode 6/200 | Reward: -8662.00 | Avg Loss: 4.3371 | Epsilon: 0.970
Episode 7/200 | Reward: -8644.00 | Avg Loss: 4.3497 | Epsilon: 0.966
Episode 8/200 | Reward: -8470.00 | Avg Loss: 4.1406 | Epsilon: 0.961
Episode 9/200 | Reward: -9130.00 | Avg Loss: 4.1856 | Epsilon: 0.956
Episode 10/200 | Reward: -10242.00 | Avg Loss: 4.0889 | Epsilon: 0.951
Episode 11/200 | Reward: -9087.00 | Avg Loss: 11.5260 | Epsilon: 0.946
Episode 12/200 | Reward: -9398.00 | Avg Loss: 7.5510 | Epsilon: 0.942
Episode 13/200 | Reward: -9078.00 | Avg Loss: 7.4509 | Epsilon: 0.937
Episode 14/200 | Reward: -7953.00 | Avg Loss: 7.1911 | Epsilon: 0.932
Episode 15/200 | Reward: -9020.00 | Avg Loss: 7.1553 | Epsilon: 0.928
Episode 16/200 | Reward: -8635.00 | Avg Loss: 7.2002 | Epsilon: 0.923
Episode 17/200 | Reward: -8730.00 | Avg Loss: 7.1024 | Epsilon: 0.918
Episode 18/200 | Reward: -8124.00 | Avg Loss: 7.2239 | Epsilon: 0.914
Episode 19/200 | Reward: -7308.00 | Avg Loss: 6.9986 | Epsilon: 0.909
Episode 20/200 | Reward: -7957.00 | Avg Loss: 6.9831 | Epsilon: 0.905
Episode 21/200 | Reward: -8671.00 | Avg Loss: 12.5331 | Epsilon: 0.900
Episode 22/200 | Reward: -7914.00 | Avg Loss: 10.0749 | Epsilon: 0.896
Episode 23/200 | Reward: -7701.00 | Avg Loss: 9.6434 | Epsilon: 0.891
Episode 24/200 | Reward: -7956.00 | Avg Loss: 9.6801 | Epsilon: 0.887
Episode 25/200 | Reward: -8481.00 | Avg Loss: 9.6535 | Epsilon: 0.882
Episode 26/200 | Reward: -7673.00 | Avg Loss: 9.6051 | Epsilon: 0.878
Episode 27/200 | Reward: -8496.00 | Avg Loss: 9.5984 | Epsilon: 0.873
Episode 28/200 | Reward: -6993.00 | Avg Loss: 9.5311 | Epsilon: 0.869
Episode 29/200 | Reward: -7197.00 | Avg Loss: 9.3968 | Epsilon: 0.865
Episode 30/200 | Reward: -6959.00 | Avg Loss: 9.3956 | Epsilon: 0.860
Episode 31/200 | Reward: -7265.00 | Avg Loss: 12.6758 | Epsilon: 0.856
Episode 32/200 | Reward: -8055.00 | Avg Loss: 11.2892 | Epsilon: 0.852
Episode 33/200 | Reward: -8582.00 | Avg Loss: 11.2550 | Epsilon: 0.848
Episode 34/200 | Reward: -7594.00 | Avg Loss: 11.2937 | Epsilon: 0.843
Episode 35/200 | Reward: -7502.00 | Avg Loss: 11.2141 | Epsilon: 0.839
Episode 36/200 | Reward: -7350.00 | Avg Loss: 10.9584 | Epsilon: 0.835
Episode 37/200 | Reward: -8568.00 | Avg Loss: 10.9899 | Epsilon: 0.831
Episode 38/200 | Reward: -7802.00 | Avg Loss: 10.8594 | Epsilon: 0.827
Episode 39/200 | Reward: -8141.00 | Avg Loss: 10.7263 | Epsilon: 0.822
Episode 40/200 | Reward: -7403.00 | Avg Loss: 10.8088 | Epsilon: 0.818
Episode 41/200 | Reward: -6848.00 | Avg Loss: 13.6031 | Epsilon: 0.814
Episode 42/200 | Reward: -8538.00 | Avg Loss: 12.5558 | Epsilon: 0.810
Episode 43/200 | Reward: -6946.00 | Avg Loss: 12.4333 | Epsilon: 0.806
Episode 44/200 | Reward: -7868.00 | Avg Loss: 12.3224 | Epsilon: 0.802
Episode 45/200 | Reward: -8352.00 | Avg Loss: 12.0184 | Epsilon: 0.798
Episode 46/200 | Reward: -8350.00 | Avg Loss: 12.3314 | Epsilon: 0.794
Episode 47/200 | Reward: -7188.00 | Avg Loss: 11.9202 | Epsilon: 0.790
Episode 48/200 | Reward: -7109.00 | Avg Loss: 12.0650 | Epsilon: 0.786
Episode 49/200 | Reward: -7187.00 | Avg Loss: 11.9630 | Epsilon: 0.782
Episode 50/200 | Reward: -7586.00 | Avg Loss: 12.0987 | Epsilon: 0.778
Episode 51/200 | Reward: -7926.00 | Avg Loss: 14.1152 | Epsilon: 0.774
Episode 52/200 | Reward: -6267.00 | Avg Loss: 13.3827 | Epsilon: 0.771
Episode 53/200 | Reward: -8258.00 | Avg Loss: 13.0887 | Epsilon: 0.767
Episode 54/200 | Reward: -7805.00 | Avg Loss: 13.1752 | Epsilon: 0.763
Episode 55/200 | Reward: -8584.00 | Avg Loss: 13.2415 | Epsilon: 0.759
Episode 56/200 | Reward: -7657.00 | Avg Loss: 12.9961 | Epsilon: 0.755
Episode 57/200 | Reward: -7142.00 | Avg Loss: 12.9580 | Epsilon: 0.751
Episode 58/200 | Reward: -7983.00 | Avg Loss: 12.8521 | Epsilon: 0.748
Episode 59/200 | Reward: -6820.00 | Avg Loss: 13.0036 | Epsilon: 0.744
Episode 60/200 | Reward: -7104.00 | Avg Loss: 12.9466 | Epsilon: 0.740
Episode 61/200 | Reward: -7575.00 | Avg Loss: 14.8613 | Epsilon: 0.737
Episode 62/200 | Reward: -7257.00 | Avg Loss: 13.7927 | Epsilon: 0.733
Episode 63/200 | Reward: -7131.00 | Avg Loss: 13.6854 | Epsilon: 0.729
Episode 64/200 | Reward: -6698.00 | Avg Loss: 13.4674 | Epsilon: 0.726
Episode 65/200 | Reward: -7833.00 | Avg Loss: 13.5468 | Epsilon: 0.722
Episode 66/200 | Reward: -6089.00 | Avg Loss: 13.5279 | Epsilon: 0.718
Episode 67/200 | Reward: -7293.00 | Avg Loss: 13.4163 | Epsilon: 0.715
Episode 68/200 | Reward: -6947.00 | Avg Loss: 13.5450 | Epsilon: 0.711
Episode 69/200 | Reward: -7167.00 | Avg Loss: 13.4489 | Epsilon: 0.708
Episode 70/200 | Reward: -6734.00 | Avg Loss: 13.2510 | Epsilon: 0.704
Episode 71/200 | Reward: -6390.00 | Avg Loss: 14.9034 | Epsilon: 0.701
Episode 72/200 | Reward: -6631.00 | Avg Loss: 14.0223 | Epsilon: 0.697
Episode 73/200 | Reward: -7232.00 | Avg Loss: 13.8365 | Epsilon: 0.694
Episode 74/200 | Reward: -5980.00 | Avg Loss: 13.6576 | Epsilon: 0.690
Episode 75/200 | Reward: -6460.00 | Avg Loss: 13.7073 | Epsilon: 0.687
Episode 76/200 | Reward: -6393.00 | Avg Loss: 13.6131 | Epsilon: 0.683
Episode 77/200 | Reward: -7888.00 | Avg Loss: 13.5199 | Epsilon: 0.680
