Simulator Started for experiment: stage6_mixed_routes on cpu
Episode 1/200 | Reward: -7685.00 | Avg Loss: 15.0616 | Epsilon: 0.995
Episode 2/200 | Reward: -9596.00 | Avg Loss: 6.4955 | Epsilon: 0.990
Episode 3/200 | Reward: -7265.00 | Avg Loss: 5.6250 | Epsilon: 0.985
Episode 4/200 | Reward: -9396.00 | Avg Loss: 5.3157 | Epsilon: 0.980
Episode 5/200 | Reward: -8618.00 | Avg Loss: 5.0527 | Epsilon: 0.975
Episode 6/200 | Reward: -8164.00 | Avg Loss: 4.7088 | Epsilon: 0.970
Episode 7/200 | Reward: -6758.00 | Avg Loss: 4.4962 | Epsilon: 0.966
Episode 8/200 | Reward: -9394.00 | Avg Loss: 4.3644 | Epsilon: 0.961
Episode 9/200 | Reward: -9656.00 | Avg Loss: 4.3649 | Epsilon: 0.956
Episode 10/200 | Reward: -9006.00 | Avg Loss: 4.3195 | Epsilon: 0.951
Episode 11/200 | Reward: -8899.00 | Avg Loss: 11.5893 | Epsilon: 0.946
Episode 12/200 | Reward: -8024.00 | Avg Loss: 8.3453 | Epsilon: 0.942
Episode 13/200 | Reward: -8500.00 | Avg Loss: 7.9817 | Epsilon: 0.937
Episode 14/200 | Reward: -7279.00 | Avg Loss: 7.7997 | Epsilon: 0.932
Episode 15/200 | Reward: -8964.00 | Avg Loss: 7.7932 | Epsilon: 0.928
Episode 16/200 | Reward: -9327.00 | Avg Loss: 7.7071 | Epsilon: 0.923
Episode 17/200 | Reward: -7044.00 | Avg Loss: 8.0482 | Epsilon: 0.918
Episode 18/200 | Reward: -7405.00 | Avg Loss: 7.9427 | Epsilon: 0.914
Episode 19/200 | Reward: -8360.00 | Avg Loss: 7.9411 | Epsilon: 0.909
Episode 20/200 | Reward: -7633.00 | Avg Loss: 7.9280 | Epsilon: 0.905
Episode 21/200 | Reward: -8286.00 | Avg Loss: 13.3746 | Epsilon: 0.900
Episode 22/200 | Reward: -6442.00 | Avg Loss: 11.1458 | Epsilon: 0.896
Episode 23/200 | Reward: -6812.00 | Avg Loss: 10.6356 | Epsilon: 0.891
Episode 24/200 | Reward: -6762.00 | Avg Loss: 10.5232 | Epsilon: 0.887
Episode 25/200 | Reward: -7853.00 | Avg Loss: 10.8347 | Epsilon: 0.882
Episode 26/200 | Reward: -6710.00 | Avg Loss: 10.6899 | Epsilon: 0.878
Episode 27/200 | Reward: -7569.00 | Avg Loss: 10.5978 | Epsilon: 0.873
Episode 28/200 | Reward: -6325.00 | Avg Loss: 10.4907 | Epsilon: 0.869
Episode 29/200 | Reward: -7765.00 | Avg Loss: 10.4776 | Epsilon: 0.865
Episode 30/200 | Reward: -7870.00 | Avg Loss: 10.5306 | Epsilon: 0.860
Episode 31/200 | Reward: -6825.00 | Avg Loss: 13.8264 | Epsilon: 0.856
Episode 32/200 | Reward: -6712.00 | Avg Loss: 12.7986 | Epsilon: 0.852
Episode 33/200 | Reward: -8196.00 | Avg Loss: 12.4309 | Epsilon: 0.848
Episode 34/200 | Reward: -7252.00 | Avg Loss: 12.7020 | Epsilon: 0.843
Episode 35/200 | Reward: -7302.00 | Avg Loss: 12.6265 | Epsilon: 0.839
Episode 36/200 | Reward: -7258.00 | Avg Loss: 12.3733 | Epsilon: 0.835
Episode 37/200 | Reward: -7819.00 | Avg Loss: 12.6428 | Epsilon: 0.831
Episode 38/200 | Reward: -6661.00 | Avg Loss: 12.4406 | Epsilon: 0.827
Episode 39/200 | Reward: -6892.00 | Avg Loss: 12.5692 | Epsilon: 0.822
Episode 40/200 | Reward: -6334.00 | Avg Loss: 12.5653 | Epsilon: 0.818
Episode 41/200 | Reward: -5700.00 | Avg Loss: 14.8803 | Epsilon: 0.814
Episode 42/200 | Reward: -7575.00 | Avg Loss: 14.0983 | Epsilon: 0.810
Episode 43/200 | Reward: -6717.00 | Avg Loss: 13.9076 | Epsilon: 0.806
Episode 44/200 | Reward: -6727.00 | Avg Loss: 13.8683 | Epsilon: 0.802
Episode 45/200 | Reward: -8612.00 | Avg Loss: 13.9064 | Epsilon: 0.798
Episode 46/200 | Reward: -7711.00 | Avg Loss: 14.0193 | Epsilon: 0.794
Episode 47/200 | Reward: -6691.00 | Avg Loss: 13.9915 | Epsilon: 0.790
Episode 48/200 | Reward: -6361.00 | Avg Loss: 13.8598 | Epsilon: 0.786
Episode 49/200 | Reward: -5856.00 | Avg Loss: 14.1072 | Epsilon: 0.782
Episode 50/200 | Reward: -6501.00 | Avg Loss: 13.9722 | Epsilon: 0.778
Episode 51/200 | Reward: -6302.00 | Avg Loss: 16.4189 | Epsilon: 0.774
Episode 52/200 | Reward: -6211.00 | Avg Loss: 15.7543 | Epsilon: 0.771
Episode 53/200 | Reward: -7603.00 | Avg Loss: 15.7801 | Epsilon: 0.767
Episode 54/200 | Reward: -7041.00 | Avg Loss: 15.7701 | Epsilon: 0.763
Episode 55/200 | Reward: -7243.00 | Avg Loss: 15.4697 | Epsilon: 0.759
Episode 56/200 | Reward: -6888.00 | Avg Loss: 15.6012 | Epsilon: 0.755
Episode 57/200 | Reward: -6306.00 | Avg Loss: 15.4845 | Epsilon: 0.751
Episode 58/200 | Reward: -6799.00 | Avg Loss: 15.5055 | Epsilon: 0.748
Episode 59/200 | Reward: -6629.00 | Avg Loss: 15.4306 | Epsilon: 0.744
Episode 60/200 | Reward: -5890.00 | Avg Loss: 15.3683 | Epsilon: 0.740
Episode 61/200 | Reward: -6511.00 | Avg Loss: 17.7131 | Epsilon: 0.737
Episode 62/200 | Reward: -7246.00 | Avg Loss: 16.9626 | Epsilon: 0.733
Episode 63/200 | Reward: -5665.00 | Avg Loss: 16.7991 | Epsilon: 0.729
Episode 64/200 | Reward: -6493.00 | Avg Loss: 16.9541 | Epsilon: 0.726
Episode 65/200 | Reward: -7512.00 | Avg Loss: 17.0481 | Epsilon: 0.722
Episode 66/200 | Reward: -5356.00 | Avg Loss: 16.9019 | Epsilon: 0.718
Episode 67/200 | Reward: -6766.00 | Avg Loss: 16.8444 | Epsilon: 0.715
Episode 68/200 | Reward: -6249.00 | Avg Loss: 16.5912 | Epsilon: 0.711
Episode 69/200 | Reward: -5348.00 | Avg Loss: 17.0859 | Epsilon: 0.708
Episode 70/200 | Reward: -6616.00 | Avg Loss: 17.0586 | Epsilon: 0.704
Episode 71/200 | Reward: -5380.00 | Avg Loss: 18.7374 | Epsilon: 0.701
Episode 72/200 | Reward: -6382.00 | Avg Loss: 18.0191 | Epsilon: 0.697
Episode 73/200 | Reward: -6919.00 | Avg Loss: 18.0995 | Epsilon: 0.694
Episode 74/200 | Reward: -6116.00 | Avg Loss: 18.0982 | Epsilon: 0.690
Episode 75/200 | Reward: -6773.00 | Avg Loss: 18.0466 | Epsilon: 0.687
Episode 76/200 | Reward: -6343.00 | Avg Loss: 17.8896 | Epsilon: 0.683
Episode 77/200 | Reward: -5562.00 | Avg Loss: 18.2626 | Epsilon: 0.680
Episode 78/200 | Reward: -5800.00 | Avg Loss: 18.3331 | Epsilon: 0.676
Episode 79/200 | Reward: -5919.00 | Avg Loss: 17.9290 | Epsilon: 0.673
Episode 80/200 | Reward: -5628.00 | Avg Loss: 17.7507 | Epsilon: 0.670
Episode 81/200 | Reward: -5994.00 | Avg Loss: 19.8834 | Epsilon: 0.666
Episode 82/200 | Reward: -5761.00 | Avg Loss: 19.6469 | Epsilon: 0.663
Episode 83/200 | Reward: -5785.00 | Avg Loss: 19.6080 | Epsilon: 0.660
Episode 84/200 | Reward: -6032.00 | Avg Loss: 19.3391 | Epsilon: 0.656
Episode 85/200 | Reward: -5915.00 | Avg Loss: 19.1524 | Epsilon: 0.653
Episode 86/200 | Reward: -5769.00 | Avg Loss: 19.0105 | Epsilon: 0.650
Episode 87/200 | Reward: -5606.00 | Avg Loss: 19.0133 | Epsilon: 0.647
Episode 88/200 | Reward: -6857.00 | Avg Loss: 19.1078 | Epsilon: 0.643
Episode 89/200 | Reward: -7602.00 | Avg Loss: 18.7942 | Epsilon: 0.640
Episode 90/200 | Reward: -6077.00 | Avg Loss: 19.0040 | Epsilon: 0.637
Episode 91/200 | Reward: -5749.00 | Avg Loss: 20.3785 | Epsilon: 0.634
Episode 92/200 | Reward: -5373.00 | Avg Loss: 19.5549 | Epsilon: 0.631
Episode 93/200 | Reward: -5280.00 | Avg Loss: 19.8745 | Epsilon: 0.627
Episode 94/200 | Reward: -5265.00 | Avg Loss: 19.6411 | Epsilon: 0.624
Episode 95/200 | Reward: -5825.00 | Avg Loss: 19.4205 | Epsilon: 0.621
Episode 96/200 | Reward: -5549.00 | Avg Loss: 19.5486 | Epsilon: 0.618
Episode 97/200 | Reward: -5402.00 | Avg Loss: 19.3512 | Epsilon: 0.615
Episode 98/200 | Reward: -5775.00 | Avg Loss: 19.1911 | Epsilon: 0.612
Episode 99/200 | Reward: -5933.00 | Avg Loss: 19.1195 | Epsilon: 0.609
Episode 100/200 | Reward: -6088.00 | Avg Loss: 19.2210 | Epsilon: 0.606
Episode 101/200 | Reward: -6508.00 | Avg Loss: 20.7854 | Epsilon: 0.603
Episode 102/200 | Reward: -5536.00 | Avg Loss: 20.6349 | Epsilon: 0.600
Episode 103/200 | Reward: -5685.00 | Avg Loss: 20.0939 | Epsilon: 0.597
Episode 104/200 | Reward: -5800.00 | Avg Loss: 20.4369 | Epsilon: 0.594
Episode 105/200 | Reward: -5330.00 | Avg Loss: 20.5730 | Epsilon: 0.591
Episode 106/200 | Reward: -5650.00 | Avg Loss: 19.8781 | Epsilon: 0.588
Episode 107/200 | Reward: -6738.00 | Avg Loss: 20.3440 | Epsilon: 0.585
Episode 108/200 | Reward: -6513.00 | Avg Loss: 19.9750 | Epsilon: 0.582
Episode 109/200 | Reward: -5794.00 | Avg Loss: 19.9239 | Epsilon: 0.579
Episode 110/200 | Reward: -5960.00 | Avg Loss: 20.1669 | Epsilon: 0.576
Episode 111/200 | Reward: -5357.00 | Avg Loss: 21.2014 | Epsilon: 0.573
Episode 112/200 | Reward: -5346.00 | Avg Loss: 20.7490 | Epsilon: 0.570
Episode 113/200 | Reward: -5594.00 | Avg Loss: 20.4875 | Epsilon: 0.568
Episode 114/200 | Reward: -6078.00 | Avg Loss: 20.4414 | Epsilon: 0.565
Episode 115/200 | Reward: -6519.00 | Avg Loss: 20.8142 | Epsilon: 0.562
Episode 116/200 | Reward: -4921.00 | Avg Loss: 20.7799 | Epsilon: 0.559
Episode 117/200 | Reward: -5374.00 | Avg Loss: 20.9447 | Epsilon: 0.556
Episode 118/200 | Reward: -5304.00 | Avg Loss: 20.8854 | Epsilon: 0.554
Episode 119/200 | Reward: -6676.00 | Avg Loss: 20.8187 | Epsilon: 0.551
Episode 120/200 | Reward: -6522.00 | Avg Loss: 20.7658 | Epsilon: 0.548
Episode 121/200 | Reward: -5686.00 | Avg Loss: 21.8228 | Epsilon: 0.545
Episode 122/200 | Reward: -5697.00 | Avg Loss: 21.4405 | Epsilon: 0.543
Episode 123/200 | Reward: -4771.00 | Avg Loss: 21.4588 | Epsilon: 0.540
Episode 124/200 | Reward: -5175.00 | Avg Loss: 21.4913 | Epsilon: 0.537
Episode 125/200 | Reward: -5134.00 | Avg Loss: 21.4151 | Epsilon: 0.534
Episode 126/200 | Reward: -5442.00 | Avg Loss: 21.2440 | Epsilon: 0.532
Episode 127/200 | Reward: -5966.00 | Avg Loss: 21.2915 | Epsilon: 0.529
Episode 128/200 | Reward: -5596.00 | Avg Loss: 21.3290 | Epsilon: 0.526
Episode 129/200 | Reward: -5252.00 | Avg Loss: 21.7333 | Epsilon: 0.524
Episode 130/200 | Reward: -5261.00 | Avg Loss: 21.2256 | Epsilon: 0.521
Episode 131/200 | Reward: -5373.00 | Avg Loss: 22.1275 | Epsilon: 0.519
Episode 132/200 | Reward: -5230.00 | Avg Loss: 22.0817 | Epsilon: 0.516
Episode 133/200 | Reward: -5358.00 | Avg Loss: 21.6972 | Epsilon: 0.513
Episode 134/200 | Reward: -5385.00 | Avg Loss: 21.8882 | Epsilon: 0.511
Episode 135/200 | Reward: -5175.00 | Avg Loss: 21.7854 | Epsilon: 0.508
Episode 136/200 | Reward: -5330.00 | Avg Loss: 21.6438 | Epsilon: 0.506
Episode 137/200 | Reward: -5845.00 | Avg Loss: 22.0338 | Epsilon: 0.503
Episode 138/200 | Reward: -5520.00 | Avg Loss: 21.7847 | Epsilon: 0.501
Episode 139/200 | Reward: -6345.00 | Avg Loss: 22.4619 | Epsilon: 0.498
Episode 140/200 | Reward: -5986.00 | Avg Loss: 21.6475 | Epsilon: 0.496
Episode 141/200 | Reward: -5864.00 | Avg Loss: 23.2402 | Epsilon: 0.493
Episode 142/200 | Reward: -5401.00 | Avg Loss: 22.8563 | Epsilon: 0.491
Episode 143/200 | Reward: -5173.00 | Avg Loss: 22.9312 | Epsilon: 0.488
Episode 144/200 | Reward: -4941.00 | Avg Loss: 22.8794 | Epsilon: 0.486
Episode 145/200 | Reward: -5844.00 | Avg Loss: 22.3719 | Epsilon: 0.483
Episode 146/200 | Reward: -5276.00 | Avg Loss: 22.9667 | Epsilon: 0.481
Episode 147/200 | Reward: -4687.00 | Avg Loss: 22.6316 | Epsilon: 0.479
Episode 148/200 | Reward: -5168.00 | Avg Loss: 22.7268 | Epsilon: 0.476
Episode 149/200 | Reward: -5008.00 | Avg Loss: 22.4559 | Epsilon: 0.474
Episode 150/200 | Reward: -5907.00 | Avg Loss: 22.9400 | Epsilon: 0.471
Episode 151/200 | Reward: -5080.00 | Avg Loss: 24.2261 | Epsilon: 0.469
Episode 152/200 | Reward: -5461.00 | Avg Loss: 23.5543 | Epsilon: 0.467
Episode 153/200 | Reward: -4944.00 | Avg Loss: 23.2696 | Epsilon: 0.464
Episode 154/200 | Reward: -5513.00 | Avg Loss: 23.8603 | Epsilon: 0.462
Episode 155/200 | Reward: -5191.00 | Avg Loss: 23.4421 | Epsilon: 0.460
Episode 156/200 | Reward: -5008.00 | Avg Loss: 23.3042 | Epsilon: 0.458
Episode 157/200 | Reward: -5453.00 | Avg Loss: 23.7081 | Epsilon: 0.455
Episode 158/200 | Reward: -5267.00 | Avg Loss: 23.0978 | Epsilon: 0.453
Episode 159/200 | Reward: -5349.00 | Avg Loss: 23.8729 | Epsilon: 0.451
Episode 160/200 | Reward: -4908.00 | Avg Loss: 22.9337 | Epsilon: 0.448
Episode 161/200 | Reward: -5016.00 | Avg Loss: 25.1346 | Epsilon: 0.446
Episode 162/200 | Reward: -5052.00 | Avg Loss: 24.3652 | Epsilon: 0.444
Episode 163/200 | Reward: -5679.00 | Avg Loss: 24.5898 | Epsilon: 0.442
Episode 164/200 | Reward: -5709.00 | Avg Loss: 24.1761 | Epsilon: 0.440
Episode 165/200 | Reward: -5599.00 | Avg Loss: 24.1524 | Epsilon: 0.437
Episode 166/200 | Reward: -4798.00 | Avg Loss: 24.3678 | Epsilon: 0.435
Episode 167/200 | Reward: -5676.00 | Avg Loss: 24.4460 | Epsilon: 0.433
Episode 168/200 | Reward: -4636.00 | Avg Loss: 24.5737 | Epsilon: 0.431
Episode 169/200 | Reward: -6164.00 | Avg Loss: 24.0977 | Epsilon: 0.429
Episode 170/200 | Reward: -5835.00 | Avg Loss: 24.1640 | Epsilon: 0.427
Episode 171/200 | Reward: -5277.00 | Avg Loss: 25.9272 | Epsilon: 0.424
Episode 172/200 | Reward: -5153.00 | Avg Loss: 25.8885 | Epsilon: 0.422
Episode 173/200 | Reward: -4978.00 | Avg Loss: 25.4914 | Epsilon: 0.420
Episode 174/200 | Reward: -5910.00 | Avg Loss: 25.8848 | Epsilon: 0.418
Episode 175/200 | Reward: -5411.00 | Avg Loss: 25.3017 | Epsilon: 0.416
Episode 176/200 | Reward: -4628.00 | Avg Loss: 25.3399 | Epsilon: 0.414
Episode 177/200 | Reward: -5629.00 | Avg Loss: 26.0154 | Epsilon: 0.412
Episode 178/200 | Reward: -4668.00 | Avg Loss: 25.0096 | Epsilon: 0.410
Episode 179/200 | Reward: -5193.00 | Avg Loss: 25.3516 | Epsilon: 0.408
Episode 180/200 | Reward: -5262.00 | Avg Loss: 25.2113 | Epsilon: 0.406
Episode 181/200 | Reward: -4854.00 | Avg Loss: 26.3427 | Epsilon: 0.404
Episode 182/200 | Reward: -5290.00 | Avg Loss: 26.4263 | Epsilon: 0.402
Episode 183/200 | Reward: -4798.00 | Avg Loss: 26.0541 | Epsilon: 0.400
Episode 184/200 | Reward: -5173.00 | Avg Loss: 26.1635 | Epsilon: 0.398
Episode 185/200 | Reward: -4954.00 | Avg Loss: 25.3088 | Epsilon: 0.396
Episode 186/200 | Reward: -5914.00 | Avg Loss: 25.2389 | Epsilon: 0.394
Episode 187/200 | Reward: -5356.00 | Avg Loss: 25.7259 | Epsilon: 0.392
Episode 188/200 | Reward: -5817.00 | Avg Loss: 25.1737 | Epsilon: 0.390
Episode 189/200 | Reward: -4999.00 | Avg Loss: 24.9099 | Epsilon: 0.388
Episode 190/200 | Reward: -4955.00 | Avg Loss: 25.9595 | Epsilon: 0.386
Episode 191/200 | Reward: -4999.00 | Avg Loss: 26.8415 | Epsilon: 0.384
Episode 192/200 | Reward: -5173.00 | Avg Loss: 26.5137 | Epsilon: 0.382
Episode 193/200 | Reward: -4860.00 | Avg Loss: 26.5374 | Epsilon: 0.380
Episode 194/200 | Reward: -4602.00 | Avg Loss: 26.8120 | Epsilon: 0.378
Episode 195/200 | Reward: -5858.00 | Avg Loss: 25.8930 | Epsilon: 0.376
Episode 196/200 | Reward: -4982.00 | Avg Loss: 26.2153 | Epsilon: 0.374
Episode 197/200 | Reward: -5193.00 | Avg Loss: 26.2564 | Epsilon: 0.373
Episode 198/200 | Reward: -5068.00 | Avg Loss: 26.8054 | Epsilon: 0.371
Episode 199/200 | Reward: -5425.00 | Avg Loss: 26.5041 | Epsilon: 0.369
Episode 200/200 | Reward: -5993.00 | Avg Loss: 26.6202 | Epsilon: 0.367

Model saved to E:\Projects\FedLearning-Robotics\models\stage6_mixed_routes\dqn_traffic_model.pth

Training plot saved to E:\Projects\FedLearning-Robotics\results\stage6_mixed_routes\training_progress.png
