Simulator Started for experiment: stage7_total_chaos on cpu
Episode 1/200 | Reward: -8066.00 | Avg Loss: 18.0234 | Epsilon: 0.995
Episode 2/200 | Reward: -9510.00 | Avg Loss: 6.4794 | Epsilon: 0.990
Episode 3/200 | Reward: -8824.00 | Avg Loss: 5.4647 | Epsilon: 0.985
Episode 4/200 | Reward: -7872.00 | Avg Loss: 5.1878 | Epsilon: 0.980
Episode 5/200 | Reward: -9541.00 | Avg Loss: 4.9421 | Epsilon: 0.975
Episode 6/200 | Reward: -8597.00 | Avg Loss: 4.5714 | Epsilon: 0.970
Episode 7/200 | Reward: -7760.00 | Avg Loss: 4.5232 | Epsilon: 0.966
Episode 8/200 | Reward: -9256.00 | Avg Loss: 4.3887 | Epsilon: 0.961
Episode 9/200 | Reward: -9052.00 | Avg Loss: 4.2193 | Epsilon: 0.956
Episode 10/200 | Reward: -9384.00 | Avg Loss: 4.1236 | Epsilon: 0.951
Episode 11/200 | Reward: -9566.00 | Avg Loss: 11.6164 | Epsilon: 0.946
Episode 12/200 | Reward: -8061.00 | Avg Loss: 7.8863 | Epsilon: 0.942
Episode 13/200 | Reward: -9031.00 | Avg Loss: 7.6349 | Epsilon: 0.937
Episode 14/200 | Reward: -7929.00 | Avg Loss: 7.6162 | Epsilon: 0.932
Episode 15/200 | Reward: -8850.00 | Avg Loss: 7.5060 | Epsilon: 0.928
Episode 16/200 | Reward: -9261.00 | Avg Loss: 7.6104 | Epsilon: 0.923
Episode 17/200 | Reward: -8117.00 | Avg Loss: 7.5242 | Epsilon: 0.918
Episode 18/200 | Reward: -8732.00 | Avg Loss: 7.7253 | Epsilon: 0.914
Episode 19/200 | Reward: -8012.00 | Avg Loss: 7.4155 | Epsilon: 0.909
Episode 20/200 | Reward: -7660.00 | Avg Loss: 7.3418 | Epsilon: 0.905
Episode 21/200 | Reward: -9267.00 | Avg Loss: 12.8579 | Epsilon: 0.900
Episode 22/200 | Reward: -7068.00 | Avg Loss: 10.4442 | Epsilon: 0.896
Episode 23/200 | Reward: -7693.00 | Avg Loss: 10.0483 | Epsilon: 0.891
Episode 24/200 | Reward: -7154.00 | Avg Loss: 10.0064 | Epsilon: 0.887
Episode 25/200 | Reward: -9210.00 | Avg Loss: 10.1631 | Epsilon: 0.882
Episode 26/200 | Reward: -6939.00 | Avg Loss: 9.9823 | Epsilon: 0.878
Episode 27/200 | Reward: -7713.00 | Avg Loss: 10.1264 | Epsilon: 0.873
Episode 28/200 | Reward: -7282.00 | Avg Loss: 10.0479 | Epsilon: 0.869
Episode 29/200 | Reward: -7955.00 | Avg Loss: 10.1059 | Epsilon: 0.865
Episode 30/200 | Reward: -7392.00 | Avg Loss: 9.9811 | Epsilon: 0.860
Episode 31/200 | Reward: -7820.00 | Avg Loss: 13.2714 | Epsilon: 0.856
Episode 32/200 | Reward: -6130.00 | Avg Loss: 11.9440 | Epsilon: 0.852
Episode 33/200 | Reward: -8187.00 | Avg Loss: 11.5174 | Epsilon: 0.848
Episode 34/200 | Reward: -6695.00 | Avg Loss: 11.7436 | Epsilon: 0.843
Episode 35/200 | Reward: -6614.00 | Avg Loss: 11.4396 | Epsilon: 0.839
Episode 36/200 | Reward: -5859.00 | Avg Loss: 11.6184 | Epsilon: 0.835
Episode 37/200 | Reward: -9467.00 | Avg Loss: 11.6695 | Epsilon: 0.831
Episode 38/200 | Reward: -7573.00 | Avg Loss: 11.5907 | Epsilon: 0.827
Episode 39/200 | Reward: -6639.00 | Avg Loss: 11.5842 | Epsilon: 0.822
Episode 40/200 | Reward: -6837.00 | Avg Loss: 11.4810 | Epsilon: 0.818
Episode 41/200 | Reward: -6217.00 | Avg Loss: 14.2745 | Epsilon: 0.814
Episode 42/200 | Reward: -6928.00 | Avg Loss: 13.5547 | Epsilon: 0.810
Episode 43/200 | Reward: -7771.00 | Avg Loss: 13.5515 | Epsilon: 0.806
Episode 44/200 | Reward: -6792.00 | Avg Loss: 13.4846 | Epsilon: 0.802
Episode 45/200 | Reward: -6743.00 | Avg Loss: 13.2942 | Epsilon: 0.798
Episode 46/200 | Reward: -7472.00 | Avg Loss: 13.3349 | Epsilon: 0.794
Episode 47/200 | Reward: -7808.00 | Avg Loss: 13.3423 | Epsilon: 0.790
Episode 48/200 | Reward: -6011.00 | Avg Loss: 13.1114 | Epsilon: 0.786
Episode 49/200 | Reward: -7282.00 | Avg Loss: 13.2674 | Epsilon: 0.782
Episode 50/200 | Reward: -6630.00 | Avg Loss: 13.3424 | Epsilon: 0.778
Episode 51/200 | Reward: -6935.00 | Avg Loss: 15.4248 | Epsilon: 0.774
Episode 52/200 | Reward: -6083.00 | Avg Loss: 14.8234 | Epsilon: 0.771
Episode 53/200 | Reward: -6813.00 | Avg Loss: 14.4822 | Epsilon: 0.767
Episode 54/200 | Reward: -6738.00 | Avg Loss: 14.3210 | Epsilon: 0.763
Episode 55/200 | Reward: -6885.00 | Avg Loss: 14.0118 | Epsilon: 0.759
Episode 56/200 | Reward: -6617.00 | Avg Loss: 14.1891 | Epsilon: 0.755
Episode 57/200 | Reward: -5634.00 | Avg Loss: 14.4597 | Epsilon: 0.751
Episode 58/200 | Reward: -7881.00 | Avg Loss: 13.8483 | Epsilon: 0.748
Episode 59/200 | Reward: -7933.00 | Avg Loss: 14.1038 | Epsilon: 0.744
Episode 60/200 | Reward: -6275.00 | Avg Loss: 14.2158 | Epsilon: 0.740
Episode 61/200 | Reward: -6699.00 | Avg Loss: 16.0831 | Epsilon: 0.737
Episode 62/200 | Reward: -6274.00 | Avg Loss: 15.1804 | Epsilon: 0.733
Episode 63/200 | Reward: -6445.00 | Avg Loss: 15.0780 | Epsilon: 0.729
Episode 64/200 | Reward: -5758.00 | Avg Loss: 15.2631 | Epsilon: 0.726
Episode 65/200 | Reward: -7232.00 | Avg Loss: 14.8713 | Epsilon: 0.722
Episode 66/200 | Reward: -6367.00 | Avg Loss: 15.0321 | Epsilon: 0.718
Episode 67/200 | Reward: -5861.00 | Avg Loss: 14.9502 | Epsilon: 0.715
Episode 68/200 | Reward: -6606.00 | Avg Loss: 15.1472 | Epsilon: 0.711
Episode 69/200 | Reward: -7045.00 | Avg Loss: 14.7707 | Epsilon: 0.708
Episode 70/200 | Reward: -6432.00 | Avg Loss: 14.5433 | Epsilon: 0.704
Episode 71/200 | Reward: -6379.00 | Avg Loss: 16.0526 | Epsilon: 0.701
Episode 72/200 | Reward: -5826.00 | Avg Loss: 15.1299 | Epsilon: 0.697
Episode 73/200 | Reward: -7146.00 | Avg Loss: 15.2585 | Epsilon: 0.694
Episode 74/200 | Reward: -5985.00 | Avg Loss: 15.0060 | Epsilon: 0.690
Episode 75/200 | Reward: -5560.00 | Avg Loss: 15.1196 | Epsilon: 0.687
Episode 76/200 | Reward: -5785.00 | Avg Loss: 15.0745 | Epsilon: 0.683
Episode 77/200 | Reward: -7057.00 | Avg Loss: 15.1319 | Epsilon: 0.680
Episode 78/200 | Reward: -6560.00 | Avg Loss: 14.8734 | Epsilon: 0.676
Episode 79/200 | Reward: -5565.00 | Avg Loss: 14.9330 | Epsilon: 0.673
Episode 80/200 | Reward: -5823.00 | Avg Loss: 15.1379 | Epsilon: 0.670
Episode 81/200 | Reward: -5747.00 | Avg Loss: 16.2640 | Epsilon: 0.666
Episode 82/200 | Reward: -6244.00 | Avg Loss: 15.4642 | Epsilon: 0.663
Episode 83/200 | Reward: -6186.00 | Avg Loss: 15.2976 | Epsilon: 0.660
